Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.9164563E-5,3.169625E-5,3.169625E-5,1.0,0.0,1.2498499E-4,1.3583478E-4,1.4583343E-4,1.0736089,1.0E-5,0.0015206301,0.0016526713,0.0016626547,1.0060408,1.0E-5,0.015102667,0.016417652,0.016427489,1.0005991,1.0E-5
6.1,2.9164563E-5,3.169625E-5,3.169625E-5,1.0,0.0,1.2498499E-4,1.3583478E-4,1.4583343E-4,1.0736089,1.0E-5,0.0015206301,0.0016526713,0.0016626547,1.0060408,1.0E-5,0.015102667,0.016417652,0.016427489,1.0005991,1.0E-5
6.2,2.9164563E-5,3.169625E-5,3.169625E-5,1.0,0.0,1.2498499E-4,1.3583478E-4,1.4583343E-4,1.0736089,1.0E-5,0.0015206301,0.0016526713,0.0016626547,1.0060408,1.0E-5,0.015102667,0.016417652,0.016427489,1.0005991,1.0E-5
6.3,1.6635553E-5,1.7846345E-5,1.7846345E-5,1.0,0.0,7.1293274E-5,7.6482196E-5,8.648143E-5,1.1307393,1.0E-5,8.6765E-4,9.3079126E-4,9.4078196E-4,1.0107336,1.0E-5,0.008642701,0.009270811,0.009280719,1.0010687,1.0E-5
6.4,1.6635553E-5,1.7846345E-5,1.7846345E-5,1.0,0.0,7.1293274E-5,7.6482196E-5,8.648143E-5,1.1307393,1.0E-5,8.6765E-4,9.3079126E-4,9.4078196E-4,1.0107336,1.0E-5,0.008642701,0.009270811,0.009280719,1.0010687,1.0E-5
6.5,1.2238748E-5,1.30696135E-5,1.30696135E-5,1.0,0.0,5.2450723E-5,5.6011446E-5,6.6010885E-5,1.178525,1.0E-5,6.3840044E-4,6.817297E-4,6.917229E-4,1.0146586,1.0E-5,0.0063656955,0.0067967847,0.006806717,1.0014613,1.0E-5
6.6,1.0489767E-5,1.1177551E-5,1.1177551E-5,1.0,0.0,4.495537E-5,4.790292E-5,5.790244E-5,1.2087456,1.0E-5,5.4719415E-4,5.830642E-4,5.930584E-4,1.0171407,1.0E-5,0.005458487,0.0058155865,0.0058255284,1.0017095,1.0E-5
6.7,8.699222E-6,9.2523605E-6,9.2523605E-6,1.0,0.0,3.7281847E-5,3.9652376E-5,4.965198E-5,1.2521816,1.0E-5,4.5381195E-4,4.8266127E-4,4.926564E-4,1.0207084,1.0E-5,0.0045288634,0.004816198,0.00482615,1.0020664,1.0E-5
6.8,8.307732E-6,8.831412E-6,8.831412E-6,1.0,0.0,3.560408E-5,3.7848364E-5,4.7847985E-5,1.2642022,1.0E-5,4.3339343E-4,4.6070683E-4,4.7070222E-4,1.0216957,1.0E-5,0.004325492,0.0045975707,0.0046075247,1.0021651,1.0E-5
6.9,8.073121E-6,8.579035E-6,8.579035E-6,1.0,0.0,3.459863E-5,3.6766778E-5,4.676641E-5,1.2719747,1.0E-5,4.2115687E-4,4.47544E-4,4.575395E-4,1.0223342,1.0E-5,0.004203596,0.0044664787,0.004476434,1.0022289,1.0E-5
