Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1876025E-5,3.7329886E-5,3.7329886E-5,1.0,0.0,1.3660437E-4,1.5997814E-4,1.5997814E-4,1.0,0.0,0.0016618895,0.0019464688,0.0019764104,1.0153825,3.0E-5,0.016495159,0.019341089,0.019390121,1.0025352,5.0E-5
6.1,3.1876025E-5,3.7329886E-5,3.7329886E-5,1.0,0.0,1.3660437E-4,1.5997814E-4,1.5997814E-4,1.0,0.0,0.0016618895,0.0019464688,0.0019764104,1.0153825,3.0E-5,0.016495159,0.019341089,0.019390121,1.0025352,5.0E-5
6.2,3.1876025E-5,3.7329886E-5,3.7329886E-5,1.0,0.0,1.3660437E-4,1.5997814E-4,1.5997814E-4,1.0,0.0,0.0016618895,0.0019464688,0.0019764104,1.0153825,3.0E-5,0.016495159,0.019341089,0.019390121,1.0025352,5.0E-5
6.3,3.1876025E-5,3.7329886E-5,3.7329886E-5,1.0,0.0,1.3660437E-4,1.5997814E-4,1.5997814E-4,1.0,0.0,0.0016618895,0.0019464688,0.0019764104,1.0153825,3.0E-5,0.016495159,0.019341089,0.019390121,1.0025352,5.0E-5
6.4,1.9273462E-5,2.1338234E-5,2.1338234E-5,1.0,0.0,8.259794E-5,9.144736E-5,9.144736E-5,1.0,0.0,0.001005166,0.0011129766,0.0011329543,1.0179498,2.0E-5,0.010006315,0.011091024,0.01113058,1.0035665,4.0E-5
6.5,1.9273462E-5,2.1338234E-5,2.1338234E-5,1.0,0.0,8.259794E-5,9.144736E-5,9.144736E-5,1.0,0.0,0.001005166,0.0011129766,0.0011329543,1.0179498,2.0E-5,0.010006315,0.011091024,0.01113058,1.0035665,4.0E-5
6.6,9.813258E-6,9.701469E-6,9.701469E-6,1.0,0.0,4.205614E-5,4.1577106E-5,4.1577106E-5,1.0,0.0,5.119132E-4,5.06091E-4,5.1608594E-4,1.0197493,1.0E-5,0.005107356,0.0050501153,0.005070014,1.0039403,2.0E-5
6.7,9.801478E-6,9.68901E-6,9.68901E-6,1.0,0.0,4.2005657E-5,4.152371E-5,4.152371E-5,1.0,0.0,5.112989E-4,5.054412E-4,5.154362E-4,1.0197747,1.0E-5,0.0051012407,0.005043647,0.005063546,1.0039454,2.0E-5
6.8,8.102489E-6,7.80089E-6,7.80089E-6,1.0,0.0,3.4724493E-5,3.3431985E-5,3.3431985E-5,1.0,0.0,4.2268867E-4,4.069634E-4,4.1695934E-4,1.0245622,1.0E-5,0.004218856,0.0040626805,0.004082599,1.0049028,2.0E-5
6.9,6.08275E-6,5.4971388E-6,5.4971388E-6,1.0,0.0,2.6068668E-5,2.3558958E-5,2.3558958E-5,1.0,0.0,3.173398E-4,2.8679334E-4,2.8679334E-4,1.0,0.0,0.0031688702,0.0028643105,0.0028742817,1.0034813,1.0E-5
7.0,5.5995934E-6,4.9967043E-6,4.9967043E-6,1.0,0.0,2.3998036E-5,2.1414275E-5,2.1414275E-5,1.0,0.0,2.9213692E-4,2.6068828E-4,2.6068828E-4,1.0,0.0,0.0029175316,0.0026038925,0.0026138665,1.0038304,1.0E-5
7.1,4.709881E-6,4.098258E-6,4.098258E-6,1.0,0.0,2.0185047E-5,1.7563849E-5,1.7563849E-5,1.0,0.0,2.4572524E-4,2.1381928E-4,2.1381928E-4,1.0,0.0,0.002454537,0.0021361774,0.0021361774,1.0,0.0
7.2,3.6063436E-6,2.9849023E-6,2.9849023E-6,1.0,0.0,1.5455667E-5,1.2792376E-5,1.2792376E-5,1.0,0.0,1.881565E-4,1.5573615E-4,1.5573615E-4,1.0,0.0,0.0018799726,0.0015562815,0.0015562815,1.0,0.0
7.3,2.471135E-6,2.1005558E-6,2.1005558E-6,1.0,0.0,1.0590536E-5,9.002351E-6,9.002351E-6,1.0,0.0,1.2893214E-4,1.09598186E-4,1.09598186E-4,1.0,0.0,0.0012885736,0.0010954486,0.0010954486,1.0,0.0
7.4,1.163943E-6,1.0299932E-6,1.0299932E-6,1.0,0.0,4.988318E-6,4.4142494E-6,4.4142494E-6,1.0,0.0,6.0731076E-5,5.374219E-5,5.374219E-5,1.0,0.0,6.071448E-4,5.3729495E-4,5.3729495E-4,1.0,0.0
