Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.2833184E-5,3.6723453E-5,3.6723453E-5,1.0,0.0,1.4070606E-4,1.5737768E-4,1.5737768E-4,1.0,0.0,0.00171175,0.0019145579,0.0019245388,1.0052131,1.0E-5,0.016986247,0.01899775,0.01900756,1.0005164,1.0E-5
6.1,1.9835548E-5,2.1737447E-5,2.1737447E-5,1.0,0.0,8.500672E-5,9.315728E-5,9.315728E-5,1.0,0.0,0.0010344655,0.0011336202,0.0011436088,1.0088114,1.0E-5,0.010296632,0.01128053,0.011290417,1.0008764,1.0E-5
6.2,1.9835548E-5,2.1737447E-5,2.1737447E-5,1.0,0.0,8.500672E-5,9.315728E-5,9.315728E-5,1.0,0.0,0.0010344655,0.0011336202,0.0011436088,1.0088114,1.0E-5,0.010296632,0.01128053,0.011290417,1.0008764,1.0E-5
6.3,1.5728183E-5,1.708867E-5,1.708867E-5,1.0,0.0,6.7404755E-5,7.323514E-5,7.323514E-5,1.0,0.0,8.2034385E-4,8.9127925E-4,9.0127037E-4,1.0112098,1.0E-5,0.008173222,0.008877733,0.008887644,1.0011164,1.0E-5
6.4,1.5728183E-5,1.708867E-5,1.708867E-5,1.0,0.0,6.7404755E-5,7.323514E-5,7.323514E-5,1.0,0.0,8.2034385E-4,8.9127925E-4,9.0127037E-4,1.0112098,1.0E-5,0.008173222,0.008877733,0.008887644,1.0011164,1.0E-5
6.5,1.3707734E-5,1.4839605E-5,1.4839605E-5,1.0,0.0,5.8746107E-5,6.359677E-5,6.359677E-5,1.0,0.0,7.1499916E-4,7.740192E-4,7.840115E-4,1.0129095,1.0E-5,0.0071270303,0.0077136355,0.007723558,1.0012864,1.0E-5
6.6,1.2539813E-5,1.3550231E-5,1.3550231E-5,1.0,0.0,5.3740947E-5,5.8071146E-5,5.8071146E-5,1.0,0.0,6.540996E-4,7.0678955E-4,7.1678247E-4,1.0141385,1.0E-5,0.0065217763,0.0070457216,0.0070556514,1.0014093,1.0E-5
6.7,1.1504083E-5,1.2413185E-5,1.2413185E-5,1.0,0.0,4.930228E-5,5.3198288E-5,5.3198288E-5,1.0,0.0,6.0008996E-4,6.474987E-4,6.5749226E-4,1.015434,1.0E-5,0.005984721,0.0064563523,0.0064662877,1.0015389,1.0E-5
6.8,1.012739E-5,1.09075545E-5,1.09075545E-5,1.0,0.0,4.340238E-5,4.6745834E-5,4.6745834E-5,1.0,0.0,5.282958E-4,5.6898344E-4,5.6898344E-4,1.0,0.0,0.0052704164,0.0056754365,0.0056754365,1.0,0.0
6.9,8.9607865E-6,9.635248E-6,9.635248E-6,1.0,0.0,3.8402806E-5,4.129327E-5,4.129327E-5,1.0,0.0,4.6745385E-4,5.0263066E-4,5.0263066E-4,1.0,0.0,0.0046647177,0.005015059,0.005015059,1.0,0.0
7.0,8.046829E-6,8.642652E-6,8.642652E-6,1.0,0.0,3.4485955E-5,3.7039412E-5,3.7039412E-5,1.0,0.0,4.1978562E-4,4.5086237E-4,4.5086237E-4,1.0,0.0,0.004189935,0.0044995677,0.0044995677,1.0,0.0
7.1,7.136131E-6,7.657523E-6,7.657523E-6,1.0,0.0,3.0583058E-5,3.2817552E-5,3.2817552E-5,1.0,0.0,3.7228514E-4,3.9948113E-4,3.9948113E-4,1.0,0.0,0.0037166206,0.003987707,0.003987707,1.0,0.0
7.2,6.362014E-6,6.8223635E-6,6.8223635E-6,1.0,0.0,2.726549E-5,2.9238377E-5,2.9238377E-5,1.0,0.0,3.3190678E-4,3.5591974E-4,3.5591974E-4,1.0,0.0,0.0033141149,0.0035535658,0.0035535658,1.0,0.0
7.3,5.004101E-6,5.3652316E-6,5.3652316E-6,1.0,0.0,2.1445969E-5,2.299365E-5,2.299365E-5,1.0,0.0,2.6107338E-4,2.7991226E-4,2.7991226E-4,1.0,0.0,0.002607669,0.002795652,0.002795652,1.0,0.0
7.4,3.4901443E-6,3.7413479E-6,3.7413479E-6,1.0,0.0,1.4957676E-5,1.6034252E-5,1.6034252E-5,1.0,0.0,1.8209449E-4,1.9519991E-4,1.9519991E-4,1.0,0.0,0.0018194534,0.0019503233,0.0019503233,1.0,0.0
7.5,1.1215045E-6,1.1918313E-6,1.1918313E-6,1.0,0.0,4.806439E-6,5.1078387E-6,5.1078387E-6,1.0,0.0,5.851682E-5,6.218619E-5,6.218619E-5,1.0,0.0,5.850142E-4,6.21691E-4,6.21691E-4,1.0,0.0
7.6,2.8599047E-7,3.000749E-7,3.000749E-7,1.0,0.0,1.2256729E-6,1.2860346E-6,1.2860346E-6,1.0,0.0,1.4922465E-5,1.565736E-5,1.565736E-5,1.0,0.0,1.4921463E-4,1.565627E-4,1.565627E-4,1.0,0.0
7.7,2.0781519E-7,2.178381E-7,2.178381E-7,1.0,0.0,8.906362E-7,9.3359154E-7,9.3359154E-7,1.0,0.0,1.08434415E-5,1.1366418E-5,1.1366418E-5,1.0,0.0,1.0842913E-4,1.1365847E-4,1.1365847E-4,1.0,0.0
7.8,3.614776E-8,3.7702275E-8,3.7702275E-8,1.0,0.0,1.5491896E-7,1.6158117E-7,1.6158117E-7,1.0,0.0,1.8861368E-6,1.967249E-6,1.967249E-6,1.0,0.0,1.8861208E-5,1.9672329E-5,1.9672329E-5,1.0,0.0
