Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,0.08324,0.0,1.0,0.0,0.0,0.05659,1.0E-5,0.04617
2.6,0.06626,0.0,1.0,0.0,0.0,0.04616,1.0E-5,0.03723
2.7,0.05322,0.0,1.0,0.0,0.0,0.03751,1.0E-5,0.02967
2.8,0.04195,0.0,1.0,0.0,0.0,0.03005,1.0E-5,0.02336
2.9,0.0334,0.0,0.0,0.0,0.0,0.02438,1.0E-5,0.01853
3.0,0.02679,0.0,0.0,0.0,0.0,0.01982,1.0E-5,0.01477
3.1,0.02133,0.0,0.0,0.0,0.0,0.01607,1.0E-5,0.01187
3.2,0.01704,0.0,0.0,0.0,0.0,0.01302,1.0E-5,0.00952
3.3,0.01393,0.0,0.0,0.0,0.0,0.01081,1.0E-5,0.00773
3.4,0.01105,0.0,0.0,0.0,0.0,0.00864,1.0E-5,0.00609
3.5,0.00862,0.0,0.0,0.0,0.0,0.00677,1.0E-5,0.00478
3.6,0.00672,0.0,0.0,0.0,0.0,0.00531,1.0E-5,0.00374
3.7,0.00535,0.0,0.0,0.0,0.0,0.00434,1.0E-5,0.00296
3.8,0.00438,0.0,0.0,0.0,0.0,0.00357,1.0E-5,0.00239
3.9,0.0035,0.0,0.0,0.0,0.0,0.00289,1.0E-5,0.00189
4.0,0.00284,0.0,0.0,0.0,0.0,0.00235,1.0E-5,0.00156
4.1,0.0022,0.0,0.0,0.0,0.0,0.00184,1.0E-5,0.00115
4.2,0.00169,0.0,0.0,0.0,0.0,0.00144,1.0E-5,8.8E-4
4.3,0.00135,0.0,0.0,0.0,0.0,0.00117,1.0E-5,7.2E-4
4.4,9.3E-4,0.0,0.0,0.0,0.0,8.2E-4,1.0E-5,4.6E-4
4.5,6.4E-4,0.0,0.0,0.0,0.0,5.8E-4,1.0E-5,3.5E-4
4.6,4.3E-4,0.0,0.0,0.0,0.0,4.1E-4,1.0E-5,2.5E-4
4.7,3.7E-4,0.0,0.0,0.0,0.0,3.6E-4,1.0E-5,2.0E-4
4.8,2.7E-4,0.0,0.0,0.0,0.0,2.6E-4,1.0E-5,1.3E-4
4.9,2.3E-4,0.0,0.0,0.0,0.0,2.3E-4,1.0E-5,1.2E-4
5.0,1.9E-4,0.0,0.0,0.0,0.0,1.9E-4,1.0E-5,9.0E-5
5.1,1.7E-4,0.0,0.0,0.0,0.0,1.7E-4,1.0E-5,7.0E-5
5.2,1.3E-4,0.0,0.0,0.0,0.0,1.3E-4,1.0E-5,5.0E-5
5.3,1.2E-4,0.0,0.0,0.0,0.0,1.2E-4,1.0E-5,4.0E-5
5.4,9.0E-5,0.0,0.0,0.0,0.0,9.0E-5,1.0E-5,4.0E-5
5.5,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,1.0E-5,4.0E-5
5.6,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,1.0E-5,3.0E-5
5.7,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,1.0E-5,3.0E-5
5.8,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,1.0E-5,3.0E-5
5.9,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,1.0E-5,2.0E-5
6.0,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,1.0E-5,1.0E-5
6.1,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,1.0E-5,1.0E-5
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
