Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,0.61577,0.0,3.0,0.0,0.0,0.28191,7.0E-5,0.28769
2.6,0.49047,0.0,2.0,0.0,0.0,0.23495,7.0E-5,0.22931
2.7,0.39132,0.0,2.0,0.0,0.0,0.19512,7.0E-5,0.18281
2.8,0.31011,0.0,2.0,0.0,0.0,0.15955,7.0E-5,0.14495
2.9,0.24645,0.0,2.0,0.0,0.0,0.13044,7.0E-5,0.11475
3.0,0.19666,0.0,1.0,0.0,0.0,0.10754,7.0E-5,0.09181
3.1,0.15664,0.0,1.0,0.0,0.0,0.0882,7.0E-5,0.07337
3.2,0.12418,0.0,1.0,0.0,0.0,0.07176,7.0E-5,0.05837
3.3,0.09857,0.0,1.0,0.0,0.0,0.05845,7.0E-5,0.04619
3.4,0.07879,0.0,1.0,0.0,0.0,0.04769,7.0E-5,0.03715
3.5,0.06236,0.0,1.0,0.0,0.0,0.0385,7.0E-5,0.02929
3.6,0.04922,0.0,1.0,0.0,0.0,0.03115,7.0E-5,0.02315
3.7,0.03969,0.0,1.0,0.0,0.0,0.02561,7.0E-5,0.01872
3.8,0.03161,0.0,0.0,0.0,0.0,0.02087,7.0E-5,0.01481
3.9,0.02516,0.0,0.0,0.0,0.0,0.01691,7.0E-5,0.01176
4.0,0.01984,0.0,0.0,0.0,0.0,0.01358,7.0E-5,0.00929
4.1,0.01582,0.0,0.0,0.0,0.0,0.01093,7.0E-5,0.00722
4.2,0.01223,0.0,0.0,0.0,0.0,0.00869,7.0E-5,0.00566
4.3,0.00972,0.0,0.0,0.0,0.0,0.00704,7.0E-5,0.00464
4.4,0.00755,0.0,0.0,0.0,0.0,0.00547,7.0E-5,0.00348
4.5,0.0061,0.0,0.0,0.0,0.0,0.00446,7.0E-5,0.00285
4.6,0.00473,0.0,0.0,0.0,0.0,0.00349,7.0E-5,0.00225
4.7,0.00377,0.0,0.0,0.0,0.0,0.00281,7.0E-5,0.00172
4.8,0.0029,0.0,0.0,0.0,0.0,0.00217,7.0E-5,0.0013
4.9,0.00235,0.0,0.0,0.0,0.0,0.00179,7.0E-5,0.00109
5.0,0.00182,0.0,0.0,0.0,0.0,0.00142,7.0E-5,8.2E-4
5.1,0.0014,0.0,0.0,0.0,0.0,0.00111,7.0E-5,5.8E-4
5.2,0.00119,0.0,0.0,0.0,0.0,9.6E-4,7.0E-5,5.1E-4
5.3,9.7E-4,0.0,0.0,0.0,0.0,8.0E-4,7.0E-5,3.8E-4
5.4,7.9E-4,0.0,0.0,0.0,0.0,6.6E-4,7.0E-5,3.2E-4
5.5,5.7E-4,0.0,0.0,0.0,0.0,4.9E-4,7.0E-5,2.6E-4
5.6,4.1E-4,0.0,0.0,0.0,0.0,3.8E-4,7.0E-5,1.8E-4
5.7,3.7E-4,0.0,0.0,0.0,0.0,3.4E-4,7.0E-5,1.5E-4
5.8,2.4E-4,0.0,0.0,0.0,0.0,2.2E-4,7.0E-5,1.1E-4
5.9,1.8E-4,0.0,0.0,0.0,0.0,1.6E-4,7.0E-5,7.0E-5
6.0,1.4E-4,0.0,0.0,0.0,0.0,1.3E-4,7.0E-5,6.0E-5
6.1,1.3E-4,0.0,0.0,0.0,0.0,1.3E-4,7.0E-5,6.0E-5
6.2,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,4.0E-5,5.0E-5
6.3,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,4.0E-5,3.0E-5
6.4,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,3.0E-5,2.0E-5
6.5,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
6.6,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
6.7,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
6.8,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
6.9,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
7.0,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
7.1,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
