Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.765594E-5,9.821352E-5,1.0821254E-4,1.101809,1.0E-5,2.4707348E-4,4.2085114E-4,4.3084694E-4,1.0237514,1.0E-5,0.0030039703,0.0051123295,0.0051222784,1.0019461,1.0E-5,0.029636865,0.049542706,0.049561717,1.0003837,2.0E-5
6.1,5.765594E-5,9.821352E-5,1.0821254E-4,1.101809,1.0E-5,2.4707348E-4,4.2085114E-4,4.3084694E-4,1.0237514,1.0E-5,0.0030039703,0.0051123295,0.0051222784,1.0019461,1.0E-5,0.029636865,0.049542706,0.049561717,1.0003837,2.0E-5
6.2,5.678553E-5,9.68565E-5,1.06855536E-4,1.1032355,1.0E-5,2.4334386E-4,4.1503814E-4,4.2503397E-4,1.0240842,1.0E-5,0.0029586866,0.0050419373,0.005051887,1.0019734,1.0E-5,0.029196035,0.048875466,0.048894487,1.0003892,2.0E-5
6.3,5.20309E-5,8.898985E-5,9.898897E-5,1.1123624,1.0E-5,2.2297051E-4,3.8133384E-4,3.9133005E-4,1.0262138,1.0E-5,0.0027112865,0.0046336586,0.004643612,1.0021482,1.0E-5,0.026784448,0.044996537,0.045015637,1.0004245,2.0E-5
6.4,4.7120942E-5,7.982079E-5,8.9819994E-5,1.1252706,1.0E-5,2.0193127E-4,3.4204853E-4,3.520451E-4,1.0292256,1.0E-5,0.0024557412,0.0041572517,0.0041672103,1.0023954,1.0E-5,0.024287801,0.04047405,0.040483646,1.0002371,1.0E-5
6.5,2.9598437E-5,4.7155423E-5,4.7155423E-5,1.0,0.0,1.2684427E-4,2.0208023E-4,2.0208023E-4,1.0,0.0,0.001543235,0.0024577666,0.0024577666,1.0,0.0,0.015325619,0.024145655,0.024145655,1.0,0.0
6.6,2.0443718E-5,3.0259993E-5,3.0259993E-5,1.0,0.0,8.7613E-5,1.2967945E-4,1.2967945E-4,1.0,0.0,0.0010661662,0.001577741,0.001577741,1.0,0.0,0.010610655,0.015605551,0.015605551,1.0,0.0
6.7,1.798539E-5,2.5786094E-5,2.5786094E-5,1.0,0.0,7.7077966E-5,1.1050727E-4,1.1050727E-4,1.0,0.0,9.380202E-4,0.0013446178,0.0013446178,1.0,0.0,0.009340706,0.013333193,0.013333193,1.0,0.0
6.8,1.613555E-5,2.2099335E-5,2.2099335E-5,1.0,0.0,6.915052E-5,9.470808E-5,9.470808E-5,1.0,0.0,8.4158237E-4,0.001152475,0.001152475,1.0,0.0,0.008384023,0.011450763,0.011450763,1.0,0.0
6.9,1.2916435E-5,1.7166774E-5,1.7166774E-5,1.0,0.0,5.5354973E-5,7.356985E-5,7.356985E-5,1.0,0.0,6.7373837E-4,8.9535065E-4,8.9535065E-4,1.0,0.0,0.006716994,0.008911367,0.008911367,1.0,0.0
7.0,9.81129E-6,1.2701575E-5,1.2701575E-5,1.0,0.0,4.2047708E-5,5.4434193E-5,5.4434193E-5,1.0,0.0,5.118106E-4,6.625364E-4,6.625364E-4,1.0,0.0,0.005106334,0.00660536,0.00660536,1.0,0.0
7.1,8.0889195E-6,1.0471377E-5,1.0471377E-5,1.0,0.0,3.4666336E-5,4.4876564E-5,4.4876564E-5,1.0,0.0,4.219809E-4,5.462363E-4,5.462363E-4,1.0,0.0,0.004211805,0.0054487605,0.0054487605,1.0,0.0
7.2,6.267438E-6,8.154199E-6,8.154199E-6,1.0,0.0,2.6860173E-5,3.4946104E-5,3.4946104E-5,1.0,0.0,3.2697353E-4,4.253865E-4,4.253865E-4,1.0,0.0,0.0032649285,0.0042461376,0.0042461376,1.0,0.0
7.3,3.6761196E-6,4.860928E-6,4.860928E-6,1.0,0.0,1.5754704E-5,2.0832385E-5,2.0832385E-5,1.0,0.0,1.9179663E-4,2.53605E-4,2.53605E-4,1.0,0.0,0.0019163118,0.002533429,0.002533429,1.0,0.0
7.4,2.8044356E-6,3.724007E-6,3.724007E-6,1.0,0.0,1.2018954E-5,1.5959933E-5,1.5959933E-5,1.0,0.0,1.4632095E-4,1.9429497E-4,1.9429497E-4,1.0,0.0,0.0014622464,0.0019413842,0.0019413842,1.0,0.0
7.5,2.4578699E-6,3.2568157E-6,3.2568157E-6,1.0,0.0,1.0533685E-5,1.3957708E-5,1.3957708E-5,1.0,0.0,1.2824008E-4,1.6992196E-4,1.6992196E-4,1.0,0.0,0.0012816609,0.0016979921,0.0016979921,1.0,0.0
7.6,1.7713267E-6,2.3434977E-6,2.3434977E-6,1.0,0.0,7.591378E-6,1.0043524E-5,1.0043524E-5,1.0,0.0,9.2421105E-5,1.2227314E-4,1.2227314E-4,1.0,0.0,9.2382677E-4,0.0012220967,0.0012220967,1.0,0.0
7.7,5.1912366E-7,6.8454926E-7,6.8454926E-7,1.0,0.0,2.2248137E-6,2.9337793E-6,2.9337793E-6,1.0,0.0,2.708677E-5,3.571819E-5,3.571819E-5,1.0,0.0,2.708347E-4,3.5712414E-4,3.5712414E-4,1.0,0.0
