Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.655419E-6,7.0292904E-6,1.702922E-5,2.4226089,1.0E-5,2.8522913E-5,3.0125193E-5,4.012489E-5,1.331938,1.0E-5,3.472111E-4,3.667145E-4,3.767108E-4,1.0272591,1.0E-5,0.0034666911,0.003665444,0.0037052974,1.0108727,4.0E-5
6.1,6.655419E-6,7.0292904E-6,1.702922E-5,2.4226089,1.0E-5,2.8522913E-5,3.0125193E-5,4.012489E-5,1.331938,1.0E-5,3.472111E-4,3.667145E-4,3.767108E-4,1.0272591,1.0E-5,0.0034666911,0.003665444,0.0037052974,1.0108727,4.0E-5
6.2,6.6254133E-6,6.9976336E-6,1.6997563E-5,2.4290445,1.0E-5,2.839432E-5,2.9989524E-5,3.9989223E-5,1.3334398,1.0E-5,3.45646E-4,3.650633E-4,3.750596E-4,1.0273825,1.0E-5,0.003451089,0.003648986,0.0036888402,1.010922,4.0E-5
6.3,6.6254133E-6,6.9976336E-6,1.6997563E-5,2.4290445,1.0E-5,2.839432E-5,2.9989524E-5,3.9989223E-5,1.3334398,1.0E-5,3.45646E-4,3.650633E-4,3.750596E-4,1.0273825,1.0E-5,0.003451089,0.003648986,0.0036888402,1.010922,4.0E-5
6.4,6.6254133E-6,6.9976336E-6,1.6997563E-5,2.4290445,1.0E-5,2.839432E-5,2.9989524E-5,3.9989223E-5,1.3334398,1.0E-5,3.45646E-4,3.650633E-4,3.750596E-4,1.0273825,1.0E-5,0.003451089,0.003648986,0.0036888402,1.010922,4.0E-5
6.5,6.606445E-6,6.977138E-6,1.6977068E-5,2.4332423,1.0E-5,2.8313027E-5,2.9901688E-5,3.990139E-5,1.3344193,1.0E-5,3.4465658E-4,3.6399424E-4,3.739906E-4,1.027463,1.0E-5,0.0034412253,0.0036383308,0.0036781854,1.010954,4.0E-5
6.6,6.59966E-6,6.9696584E-6,1.6969589E-5,2.4347806,1.0E-5,2.828395E-5,2.9869634E-5,3.9869337E-5,1.3347782,1.0E-5,3.4430268E-4,3.636041E-4,3.7360046E-4,1.0274924,1.0E-5,0.0034376972,0.0036344423,0.003674297,1.0109658,4.0E-5
6.7,6.5570975E-6,6.9235443E-6,1.6923475E-5,2.444337,1.0E-5,2.8101544E-5,2.9672006E-5,3.967171E-5,1.337008,1.0E-5,3.4208258E-4,3.611988E-4,3.7119517E-4,1.0276756,1.0E-5,0.0034155648,0.0036104675,0.003650323,1.0110389,4.0E-5
6.8,5.472255E-6,5.763545E-6,1.5763488E-5,2.7350333,1.0E-5,2.345231E-5,2.4700676E-5,3.4700428E-5,1.4048373,1.0E-5,2.8549446E-4,3.006897E-4,3.1068668E-4,1.0332469,1.0E-5,0.0028512797,0.0030070299,0.0030469096,1.0132622,4.0E-5
6.9,5.092346E-6,5.3527683E-6,1.5352714E-5,2.8681822,1.0E-5,2.1824157E-5,2.2940236E-5,3.2940006E-5,1.4359053,1.0E-5,2.656767E-4,2.7926196E-4,2.8925916E-4,1.0357987,1.0E-5,0.002653593,0.0027933035,0.0028331918,1.01428,4.0E-5
7.0,4.5525762E-6,4.7644908E-6,4.7644908E-6,1.0,0.0,1.9510895E-5,2.0419087E-5,2.0419087E-5,1.0,0.0,2.3751926E-4,2.4857433E-4,2.4857433E-4,1.0,0.0,0.0023726553,0.0024871486,0.002507099,1.0080214,2.0E-5
7.1,4.261504E-6,4.442642E-6,4.442642E-6,1.0,0.0,1.826346E-5,1.9039757E-5,1.9039757E-5,1.0,0.0,2.2233493E-4,2.3178467E-4,2.3178467E-4,1.0,0.0,0.002221126,0.0023196018,0.0023395554,1.0086021,2.0E-5
7.2,3.654114E-6,3.7795498E-6,3.7795498E-6,1.0,0.0,1.5660395E-5,1.6197971E-5,1.6197971E-5,1.0,0.0,1.9064861E-4,1.971927E-4,1.971927E-4,1.0,0.0,0.0019048514,0.001974343,0.0019843234,1.005055,1.0E-5
7.3,2.1595129E-6,2.3082498E-6,2.3082498E-6,1.0,0.0,9.255023E-6,9.892461E-6,9.892461E-6,1.0,0.0,1.1267407E-4,1.2043411E-4,1.2043411E-4,1.0,0.0,0.0011261696,0.0012078269,0.0012078269,1.0,0.0
7.4,1.7532738E-6,1.8912892E-6,1.8912892E-6,1.0,0.0,7.5140088E-6,8.1055005E-6,8.1055005E-6,1.0,0.0,9.147922E-5,9.868004E-5,9.868004E-5,1.0,0.0,9.144157E-4,9.903604E-4,9.903604E-4,1.0,0.0
7.5,9.387875E-7,1.0594213E-6,1.0594213E-6,1.0,0.0,4.0233685E-6,4.540369E-6,4.540369E-6,1.0,0.0,4.8983413E-5,5.5277607E-5,5.5277607E-5,1.0,0.0,4.897262E-4,5.5645505E-4,5.5645505E-4,1.0,0.0
