Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.0194888E-5,3.7410435E-5,4.741006E-5,1.2672951,1.0E-5,1.2940024E-4,1.6032372E-4,1.703221E-4,1.0623639,1.0E-5,0.0015743093,0.0019507128,0.0019606934,1.0051163,1.0E-5,0.01563203,0.019386461,0.019396268,1.0005058,1.0E-5
6.1,3.0194888E-5,3.7410435E-5,4.741006E-5,1.2672951,1.0E-5,1.2940024E-4,1.6032372E-4,1.703221E-4,1.0623639,1.0E-5,0.0015743093,0.0019507128,0.0019606934,1.0051163,1.0E-5,0.01563203,0.019386461,0.019396268,1.0005058,1.0E-5
6.2,3.0194888E-5,3.7410435E-5,4.741006E-5,1.2672951,1.0E-5,1.2940024E-4,1.6032372E-4,1.703221E-4,1.0623639,1.0E-5,0.0015743093,0.0019507128,0.0019606934,1.0051163,1.0E-5,0.01563203,0.019386461,0.019396268,1.0005058,1.0E-5
6.3,1.5795305E-5,1.8573395E-5,1.8573395E-5,1.0,0.0,6.769241E-5,7.9598474E-5,7.9598474E-5,1.0,0.0,8.238434E-4,9.687929E-4,9.687929E-4,1.0,0.0,0.008207959,0.009656723,0.009656723,1.0,0.0
6.4,1.5795305E-5,1.8573395E-5,1.8573395E-5,1.0,0.0,6.769241E-5,7.9598474E-5,7.9598474E-5,1.0,0.0,8.238434E-4,9.687929E-4,9.687929E-4,1.0,0.0,0.008207959,0.009656723,0.009656723,1.0,0.0
6.5,1.5795305E-5,1.8573395E-5,1.8573395E-5,1.0,0.0,6.769241E-5,7.9598474E-5,7.9598474E-5,1.0,0.0,8.238434E-4,9.687929E-4,9.687929E-4,1.0,0.0,0.008207959,0.009656723,0.009656723,1.0,0.0
6.6,1.5795305E-5,1.8573395E-5,1.8573395E-5,1.0,0.0,6.769241E-5,7.9598474E-5,7.9598474E-5,1.0,0.0,8.238434E-4,9.687929E-4,9.687929E-4,1.0,0.0,0.008207959,0.009656723,0.009656723,1.0,0.0
6.7,1.1363076E-5,1.3223407E-5,1.3223407E-5,1.0,0.0,4.8697988E-5,5.667095E-5,5.667095E-5,1.0,0.0,5.927367E-4,6.898275E-4,6.898275E-4,1.0,0.0,0.0059115817,0.00688443,0.00688443,1.0,0.0
6.8,1.0049611E-5,1.16686715E-5,1.16686715E-5,1.0,0.0,4.306905E-5,5.000805E-5,5.000805E-5,1.0,0.0,5.242395E-4,6.08752E-4,6.08752E-4,1.0,0.0,0.0052300454,0.0060781124,0.0060781124,1.0,0.0
6.9,1.0049611E-5,1.16686715E-5,1.16686715E-5,1.0,0.0,4.306905E-5,5.000805E-5,5.000805E-5,1.0,0.0,5.242395E-4,6.08752E-4,6.08752E-4,1.0,0.0,0.0052300454,0.0060781124,0.0060781124,1.0,0.0
7.0,1.0049611E-5,1.16686715E-5,1.16686715E-5,1.0,0.0,4.306905E-5,5.000805E-5,5.000805E-5,1.0,0.0,5.242395E-4,6.08752E-4,6.08752E-4,1.0,0.0,0.0052300454,0.0060781124,0.0060781124,1.0,0.0
7.1,8.140254E-6,9.44392E-6,9.44392E-6,1.0,0.0,3.4886336E-5,4.0473697E-5,4.0473697E-5,1.0,0.0,4.2465836E-4,4.927238E-4,4.927238E-4,1.0,0.0,0.0042384774,0.0049229725,0.0049229725,1.0,0.0
7.2,1.673835E-7,1.4349627E-7,1.4349627E-7,1.0,0.0,7.173577E-7,6.1498383E-7,6.1498383E-7,1.0,0.0,8.733795E-6,7.4874065E-6,7.4874065E-6,1.0,0.0,8.733451E-5,7.487191E-5,7.487191E-5,1.0,0.0
7.3,1.6632116E-7,1.4246217E-7,1.4246217E-7,1.0,0.0,7.1280476E-7,6.1055204E-7,6.1055204E-7,1.0,0.0,8.678364E-6,7.4334494E-6,7.4334494E-6,1.0,0.0,8.6780245E-5,7.4332376E-5,7.4332376E-5,1.0,0.0
7.4,1.6569169E-7,1.4190543E-7,1.4190543E-7,1.0,0.0,7.1010703E-7,6.0816603E-7,6.0816603E-7,1.0,0.0,8.645519E-6,7.4044E-6,7.4044E-6,1.0,0.0,8.645182E-5,7.40419E-5,7.40419E-5,1.0,0.0
7.5,1.1764555E-7,1.02187464E-7,1.02187464E-7,1.0,0.0,5.041951E-7,4.379462E-7,4.379462E-7,1.0,0.0,6.138558E-6,5.331984E-6,5.331984E-6,1.0,0.0,6.1383886E-5,5.331878E-5,5.331878E-5,1.0,0.0
7.6,1.07927605E-7,9.377977E-8,9.377977E-8,1.0,0.0,4.6254678E-7,4.0191324E-7,4.0191324E-7,1.0,0.0,5.6314925E-6,4.893285E-6,4.893285E-6,1.0,0.0,5.63135E-5,4.8931986E-5,4.8931986E-5,1.0,0.0
7.7,2.1826905E-8,1.13473195E-8,1.13473195E-8,1.0,0.0,9.3543875E-8,4.863137E-8,4.863137E-8,1.0,0.0,1.1388961E-6,5.920868E-7,5.920868E-7,1.0,0.0,1.1388902E-5,5.920858E-6,5.920858E-6,1.0,0.0
7.8,2.6169649E-9,1.2144047E-9,1.2144047E-9,1.0,0.0,1.1215564E-8,5.2045914E-9,5.2045914E-9,1.0,0.0,1.3654947E-7,6.33659E-8,6.33659E-8,1.0,0.0,1.365494E-6,6.33659E-7,6.33659E-7,1.0,0.0
