Time (days),ComCat Data
0.0,0.0
7.0982846E-4,0.0
0.0014196569,0.0
0.0021294854,0.0
0.0028393138,1.0
0.0035491423,1.0
0.0042589707,1.0
0.004968799,1.0
0.0056786276,1.0
0.006388456,1.0
0.0070982846,1.0
0.0078081135,1.0
0.008517941,1.0
0.00922777,1.0
0.009937598,1.0
0.010647427,1.0
0.011357255,1.0
0.012067084,1.0
0.012776912,1.0
0.013486741,1.0
0.014196569,1.0
0.014906398,1.0
0.015616227,1.0
0.016326055,2.0
0.017035883,2.0
0.017745713,2.0
0.01845554,2.0
0.019165369,2.0
0.019875197,2.0
0.020585027,2.0
0.021294855,2.0
0.022004683,2.0
0.02271451,2.0
0.02342434,2.0
0.024134168,2.0
0.024843996,2.0
0.025553824,2.0
0.026263654,2.0
0.026973482,2.0
0.02768331,2.0
0.028393138,2.0
0.029102968,2.0
0.029812796,2.0
0.030522624,2.0
0.031232454,2.0
0.031942282,2.0
0.03265211,2.0
0.033361938,2.0
0.034071766,2.0
0.034781594,2.0
0.035491426,2.0
0.036201254,2.0
0.03691108,2.0
0.03762091,2.0
0.038330738,2.0
0.039040565,2.0
0.039750393,2.0
0.04046022,2.0
0.041170053,2.0
0.04187988,2.0
0.04258971,2.0
0.043299537,2.0
0.044009365,3.0
0.044719193,3.0
0.04542902,3.0
0.04613885,3.0
0.04684868,3.0
0.04755851,3.0
0.048268337,3.0
0.048978165,3.0
0.049687993,3.0
0.05039782,3.0
0.05110765,3.0
0.05181748,3.0
0.05252731,3.0
0.053237136,3.0
0.053946964,3.0
0.054656792,3.0
0.05536662,3.0
0.05607645,3.0
0.056786276,3.0
0.057496108,4.0
0.058205936,4.0
0.058915764,4.0
0.059625592,4.0
0.06033542,4.0
0.061045248,4.0
0.061755076,4.0
0.062464908,4.0
0.06317473,4.0
0.063884564,4.0
0.06459439,4.0
0.06530422,4.0
0.06601405,4.0
0.066723876,5.0
0.06743371,5.0
0.06814353,5.0
0.06885336,5.0
0.06956319,5.0
0.07027302,5.0
0.07098285,5.0
0.071692675,5.0
0.07240251,5.0
0.07311233,5.0
0.07382216,5.0
0.07453199,5.0
0.07524182,5.0
0.07595164,5.0
0.076661475,5.0
0.07737131,5.0
0.07808113,5.0
0.07879096,5.0
0.07950079,5.0
0.08021062,5.0
0.08092044,5.0
0.081630275,5.0
0.08234011,5.0
0.08304993,5.0
0.08375976,5.0
0.08446959,5.0
0.08517942,5.0
0.08588924,5.0
0.086599074,5.0
0.087308906,5.0
0.08801873,5.0
0.08872856,5.0
0.089438386,5.0
0.09014822,5.0
0.09085804,6.0
0.091567874,6.0
0.0922777,6.0
0.09298753,6.0
0.09369736,6.0
0.094407186,7.0
0.09511702,7.0
0.09582684,7.0
0.09653667,7.0
0.0972465,7.0
0.09795633,7.0
0.09866616,7.0
0.099375986,7.0
0.10008582,7.0
0.10079564,7.0
0.10150547,7.0
0.1022153,8.0
0.10292513,8.0
0.10363496,8.0
0.104344785,8.0
0.10505462,8.0
0.10576444,8.0
0.10647427,8.0
0.1071841,8.0
0.10789393,8.0
0.10860376,8.0
0.109313585,8.0
0.11002342,8.0
0.11073324,8.0
0.11144307,8.0
0.1121529,8.0
0.11286273,8.0
0.11357255,8.0
0.114282385,8.0
0.114992216,8.0
0.11570204,8.0
0.11641187,8.0
0.1171217,8.0
0.11783153,8.0
0.11854135,8.0
0.119251184,8.0
0.119961016,8.0
0.12067084,8.0
0.12138067,8.0
0.122090496,8.0
0.12280033,8.0
0.12351015,8.0
0.124219984,8.0
0.124929816,8.0
0.12563965,8.0
0.12634946,9.0
0.1270593,9.0
0.12776913,9.0
0.12847896,9.0
0.12918878,9.0
0.12989861,9.0
0.13060844,9.0
0.13131827,10.0
0.1320281,10.0
0.13273792,10.0
0.13344775,10.0
0.13415758,10.0
0.13486741,10.0
0.13557723,10.0
0.13628706,10.0
0.1369969,10.0
0.13770673,10.0
0.13841656,10.0
0.13912638,10.0
0.1398362,10.0
0.14054604,10.0
0.14125587,10.0
0.1419657,10.0
0.14267552,10.0
0.14338535,10.0
0.14409518,10.0
0.14480501,10.0
0.14551483,11.0
0.14622466,11.0
0.1469345,11.0
0.14764433,11.0
0.14835416,11.0
0.14906397,11.0
0.1497738,11.0
0.15048364,11.0
0.15119347,11.0
0.15190329,11.0
0.15261312,11.0
0.15332295,11.0
0.15403278,11.0
0.15474261,11.0
0.15545243,11.0
0.15616226,11.0
0.1568721,11.0
0.15758193,11.0
0.15829176,11.0
0.15900157,11.0
0.1597114,11.0
0.16042124,11.0
0.16113107,11.0
0.16184089,11.0
0.16255072,11.0
0.16326055,11.0
0.16397038,11.0
0.16468021,11.0
0.16539003,11.0
0.16609986,11.0
0.1668097,11.0
0.16751952,11.0
0.16822934,11.0
0.16893917,11.0
0.169649,11.0
0.17035884,11.0
0.17106867,11.0
0.17177849,11.0
0.17248832,11.0
0.17319815,11.0
0.17390798,11.0
0.17461781,11.0
0.17532763,11.0
0.17603746,11.0
0.17674729,11.0
0.17745712,11.0
0.17816694,11.0
0.17887677,11.0
0.1795866,11.0
0.18029644,11.0
0.18100627,11.0
0.18171608,11.0
0.18242592,11.0
0.18313575,11.0
0.18384558,11.0
0.1845554,11.0
0.18526523,11.0
0.18597506,11.0
0.18668489,11.0
0.18739472,11.0
0.18810454,12.0
0.18881437,12.0
0.1895242,12.0
0.19023404,12.0
0.19094387,12.0
0.19165368,12.0
0.19236352,12.0
0.19307335,12.0
0.19378318,12.0
0.194493,12.0
0.19520283,12.0
0.19591266,12.0
0.19662249,12.0
0.19733232,13.0
0.19804214,13.0
0.19875197,13.0
0.1994618,13.0
0.20017163,13.0
0.20088147,13.0
0.20159128,13.0
0.20230111,13.0
0.20301095,13.0
0.20372078,13.0
0.2044306,13.0
0.20514043,13.0
0.20585026,13.0
0.20656009,13.0
0.20726992,13.0
0.20797974,13.0
0.20868957,14.0
0.2093994,14.0
0.21010923,14.0
0.21081905,14.0
0.21152888,14.0
0.21223871,14.0
0.21294855,14.0
0.21365838,14.0
0.2143682,14.0
0.21507803,14.0
0.21578786,14.0
0.21649769,14.0
0.21720752,14.0
0.21791734,14.0
0.21862717,14.0
0.219337,14.0
0.22004683,14.0
0.22075665,14.0
0.22146648,14.0
0.22217631,14.0
0.22288615,14.0
0.22359598,14.0
0.2243058,14.0
0.22501563,14.0
0.22572546,14.0
0.22643529,14.0
0.2271451,14.0
0.22785494,14.0
0.22856477,14.0
0.2292746,14.0
0.22998443,14.0
0.23069425,14.0
0.23140408,14.0
0.23211391,14.0
0.23282374,14.0
0.23353358,14.0
0.2342434,14.0
0.23495322,14.0
0.23566306,14.0
0.23637289,14.0
0.2370827,14.0
0.23779254,14.0
0.23850237,14.0
0.2392122,14.0
0.23992203,14.0
0.24063185,14.0
0.24134168,14.0
0.24205151,14.0
0.24276134,14.0
0.24347116,14.0
0.24418099,14.0
0.24489082,14.0
0.24560066,14.0
0.24631049,14.0
0.2470203,14.0
0.24773014,14.0
0.24843997,14.0
0.2491498,14.0
0.24985963,14.0
0.25056946,14.0
0.2512793,14.0
0.2519891,14.0
0.25269893,14.0
0.25340876,14.0
0.2541186,14.0
0.25482842,14.0
0.25553825,14.0
0.2562481,14.0
0.25695792,14.0
0.25766775,14.0
0.25837755,14.0
0.25908738,14.0
0.25979722,14.0
0.26050705,14.0
0.26121688,14.0
0.2619267,14.0
0.26263654,14.0
0.26334637,14.0
0.2640562,14.0
0.264766,14.0
0.26547584,14.0
0.26618567,14.0
0.2668955,14.0
0.26760533,14.0
0.26831517,14.0
0.269025,14.0
0.26973483,14.0
0.27044466,14.0
0.27115446,14.0
0.2718643,14.0
0.27257413,14.0
0.27328396,14.0
0.2739938,14.0
0.27470362,14.0
0.27541345,14.0
0.2761233,14.0
0.27683312,14.0
0.27754295,14.0
0.27825275,14.0
0.27896258,14.0
0.2796724,14.0
0.28038225,14.0
0.28109208,14.0
0.2818019,14.0
0.28251174,14.0
0.28322157,14.0
0.2839314,14.0
0.2846412,14.0
0.28535104,14.0
0.28606087,14.0
0.2867707,14.0
0.28748053,14.0
0.28819036,14.0
0.2889002,14.0
0.28961003,14.0
0.29031986,14.0
0.29102966,14.0
0.2917395,14.0
0.29244933,14.0
0.29315916,14.0
0.293869,14.0
0.29457882,14.0
0.29528865,14.0
0.29599848,14.0
0.29670832,14.0
0.29741812,14.0
0.29812795,14.0
0.29883778,14.0
0.2995476,14.0
0.30025744,14.0
0.30096728,14.0
0.3016771,14.0
0.30238694,14.0
0.30309677,14.0
0.30380657,14.0
0.3045164,14.0
0.30522624,14.0
0.30593607,14.0
0.3066459,14.0
0.30735573,14.0
0.30806556,14.0
0.3087754,14.0
0.30948523,14.0
0.31019506,14.0
0.31090486,14.0
0.3116147,14.0
0.31232452,14.0
0.31303436,14.0
0.3137442,14.0
0.31445402,14.0
0.31516385,14.0
0.31587368,14.0
0.3165835,14.0
0.31729332,14.0
0.31800315,14.0
0.31871298,14.0
0.3194228,14.0
0.32013264,14.0
0.32084247,14.0
