Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.28807E-5,4.8271413E-5,4.8271413E-5,1.0,0.0,2.6946087E-4,2.0686115E-4,2.0686115E-4,1.0,0.0,0.0032757511,0.0025156396,0.0025256146,1.0039651,1.0E-5,0.032278832,0.025828365,0.025838107,1.0003772,1.0E-5
6.1,6.28807E-5,4.8271413E-5,4.8271413E-5,1.0,0.0,2.6946087E-4,2.0686115E-4,2.0686115E-4,1.0,0.0,0.0032757511,0.0025156396,0.0025256146,1.0039651,1.0E-5,0.032278832,0.025828365,0.025838107,1.0003772,1.0E-5
6.2,6.28807E-5,4.8271413E-5,4.8271413E-5,1.0,0.0,2.6946087E-4,2.0686115E-4,2.0686115E-4,1.0,0.0,0.0032757511,0.0025156396,0.0025256146,1.0039651,1.0E-5,0.032278832,0.025828365,0.025838107,1.0003772,1.0E-5
6.3,6.28807E-5,4.8271413E-5,4.8271413E-5,1.0,0.0,2.6946087E-4,2.0686115E-4,2.0686115E-4,1.0,0.0,0.0032757511,0.0025156396,0.0025256146,1.0039651,1.0E-5,0.032278832,0.025828365,0.025838107,1.0003772,1.0E-5
6.4,6.28807E-5,4.8271413E-5,4.8271413E-5,1.0,0.0,2.6946087E-4,2.0686115E-4,2.0686115E-4,1.0,0.0,0.0032757511,0.0025156396,0.0025256146,1.0039651,1.0E-5,0.032278832,0.025828365,0.025838107,1.0003772,1.0E-5
6.5,5.811017E-5,4.494311E-5,4.494311E-5,1.0,0.0,2.4901982E-4,1.9259915E-4,1.9259915E-4,1.0,0.0,0.0030276014,0.00234238,0.0023523564,1.0042591,1.0E-5,0.02986684,0.024088016,0.024097774,1.0004052,1.0E-5
6.6,5.811017E-5,4.494311E-5,4.494311E-5,1.0,0.0,2.4901982E-4,1.9259915E-4,1.9259915E-4,1.0,0.0,0.0030276014,0.00234238,0.0023523564,1.0042591,1.0E-5,0.02986684,0.024088016,0.024097774,1.0004052,1.0E-5
6.7,5.712442E-5,4.4316377E-5,4.4316377E-5,1.0,0.0,2.4479596E-4,1.8991354E-4,1.8991354E-4,1.0,0.0,0.0029763177,0.0023097522,0.0023197292,1.0043194,1.0E-5,0.029367693,0.023755515,0.023765277,1.0004109,1.0E-5
6.8,5.6967532E-5,4.4163142E-5,4.4163142E-5,1.0,0.0,2.4412372E-4,1.8925691E-4,1.8925691E-4,1.0,0.0,0.0029681553,0.0023017747,0.0023117517,1.0043344,1.0E-5,0.029288229,0.023675065,0.023684828,1.0004123,1.0E-5
6.9,5.6211324E-5,4.383571E-5,4.383571E-5,1.0,0.0,2.4088343E-4,1.8785383E-4,1.8785383E-4,1.0,0.0,0.0029288116,0.002284728,0.0022947052,1.0043669,1.0E-5,0.028905109,0.023498168,0.023507934,1.0004156,1.0E-5
7.0,5.4383527E-5,4.258266E-5,4.258266E-5,1.0,0.0,2.3305144E-4,1.8248438E-4,1.8248438E-4,1.0,0.0,0.0028337094,0.0022194893,0.002229467,1.0044955,1.0E-5,0.027978465,0.022835076,0.022844847,1.000428,1.0E-5
7.1,5.1393665E-5,4.0875555E-5,4.0875555E-5,1.0,0.0,2.2023996E-4,1.7516922E-4,1.7516922E-4,1.0,0.0,0.0026781242,0.002130604,0.002140583,1.0046835,1.0E-5,0.026460782,0.021924648,0.02193443,1.0004461,1.0E-5
7.2,4.785222E-5,3.9042043E-5,3.9042043E-5,1.0,0.0,2.0506482E-4,1.6731233E-4,1.6731233E-4,1.0,0.0,0.0024938055,0.002035129,0.0020451085,1.0049037,1.0E-5,0.024660049,0.02095352,0.020963311,1.0004673,1.0E-5
7.3,4.2143256E-5,3.799878E-5,3.799878E-5,1.0,0.0,1.8060145E-4,1.6284178E-4,1.6284178E-4,1.0,0.0,0.002196605,0.0019808,0.0019808,1.0,0.0,0.02175019,0.020387303,0.020387303,1.0,0.0
7.4,4.0264713E-5,3.758991E-5,3.758991E-5,1.0,0.0,1.7255165E-4,1.6108969E-4,1.6108969E-4,1.0,0.0,0.002098792,0.001959507,0.001959507,1.0,0.0,0.020790804,0.020167278,0.020167278,1.0,0.0
7.5,3.694492E-5,3.6180038E-5,3.6180038E-5,1.0,0.0,1.5832575E-4,1.5504811E-4,1.5504811E-4,1.0,0.0,0.0019259118,0.00188608,0.00188608,1.0,0.0,0.01909306,0.019420564,0.019420564,1.0,0.0
7.6,3.200565E-5,3.3289118E-5,3.3289118E-5,1.0,0.0,1.3715986E-4,1.4265986E-4,1.4265986E-4,1.0,0.0,0.001668642,0.0017355026,0.0017355026,1.0,0.0,0.01656168,0.017904438,0.017904438,1.0,0.0
7.7,2.731642E-5,2.9682396E-5,2.9682396E-5,1.0,0.0,1.1706512E-4,1.2720408E-4,1.2720408E-4,1.0,0.0,0.001424336,0.0015476107,0.0015476107,1.0,0.0,0.014152412,0.016028112,0.016028112,1.0,0.0
7.8,2.3466424E-5,2.6865382E-5,2.6865382E-5,1.0,0.0,1.0056651E-4,1.1513228E-4,1.1513228E-4,1.0,0.0,0.0012237094,0.0014008352,0.0014008352,1.0,0.0,0.012169928,0.014554209,0.014554209,1.0,0.0
7.9,1.8611925E-5,2.1804384E-5,2.1804384E-5,1.0,0.0,7.9762955E-5,9.3444025E-5,9.3444025E-5,1.0,0.0,9.7068126E-4,0.0011370882,0.0011370882,1.0,0.0,0.0096645225,0.011904085,0.011904085,1.0,0.0
8.0,1.5460775E-5,1.8254268E-5,1.8254268E-5,1.0,0.0,6.6258784E-5,7.823024E-5,7.823024E-5,1.0,0.0,8.0640207E-4,9.5203787E-4,9.5203787E-4,1.0,0.0,0.008034821,0.010018029,0.010018029,1.0,0.0
8.1,9.983884E-6,9.7500615E-6,9.7500615E-6,1.0,0.0,4.2787375E-5,4.1785315E-5,4.1785315E-5,1.0,0.0,5.2081177E-4,5.0861813E-4,5.0861813E-4,1.0,0.0,0.0051959283,0.005430107,0.005430107,1.0,0.0
8.2,4.1226E-6,1.9957415E-6,1.9957415E-6,1.0,0.0,1.7668166E-5,8.55315E-6,8.55315E-6,1.0,0.0,2.1508869E-4,1.0412967E-4,1.0412967E-4,1.0,0.0,0.0021488064,0.001191049,0.001191049,1.0,0.0
8.3,1.2750878E-6,4.836685E-7,4.836685E-7,1.0,0.0,5.4646503E-6,2.0728635E-6,2.0728635E-6,1.0,0.0,6.653009E-5,2.5236828E-5,2.5236828E-5,1.0,0.0,6.6510175E-4,2.9840614E-4,2.9840614E-4,1.0,0.0
