Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,0.64247,0.0,1.0,0.0,0.0,0.05173,8.0E-5,0.04584
2.6,0.51142,0.0,1.0,0.0,0.0,0.04201,8.0E-5,0.03628
2.7,0.4083,0.0,1.0,0.0,0.0,0.03406,8.0E-5,0.02902
2.8,0.32427,0.0,1.0,0.0,0.0,0.02788,8.0E-5,0.02322
2.9,0.25696,0.0,0.0,0.0,0.0,0.02248,8.0E-5,0.01839
3.0,0.20367,0.0,0.0,0.0,0.0,0.01845,8.0E-5,0.01482
3.1,0.16166,0.0,0.0,0.0,0.0,0.01502,8.0E-5,0.01173
3.2,0.12909,0.0,0.0,0.0,0.0,0.01206,8.0E-5,0.00926
3.3,0.1025,0.0,0.0,0.0,0.0,0.00977,8.0E-5,0.0074
3.4,0.08073,0.0,0.0,0.0,0.0,0.00776,8.0E-5,0.00572
3.5,0.06384,0.0,0.0,0.0,0.0,0.00635,8.0E-5,0.00455
3.6,0.05078,0.0,0.0,0.0,0.0,0.00527,8.0E-5,0.00369
3.7,0.0407,0.0,0.0,0.0,0.0,0.00437,8.0E-5,0.00303
3.8,0.03225,0.0,0.0,0.0,0.0,0.00354,8.0E-5,0.00237
3.9,0.02549,0.0,0.0,0.0,0.0,0.00276,8.0E-5,0.00179
4.0,0.0203,0.0,0.0,0.0,0.0,0.00231,8.0E-5,0.00148
4.1,0.0162,0.0,0.0,0.0,0.0,0.00187,8.0E-5,0.00115
4.2,0.01282,0.0,0.0,0.0,0.0,0.00142,8.0E-5,8.4E-4
4.3,0.00989,0.0,0.0,0.0,0.0,0.00121,8.0E-5,6.5E-4
4.4,0.00793,0.0,0.0,0.0,0.0,0.00104,8.0E-5,5.4E-4
4.5,0.00617,0.0,0.0,0.0,0.0,8.5E-4,8.0E-5,4.1E-4
4.6,0.00483,0.0,0.0,0.0,0.0,6.8E-4,8.0E-5,2.9E-4
4.7,0.00388,0.0,0.0,0.0,0.0,6.0E-4,8.0E-5,2.5E-4
4.8,0.00307,0.0,0.0,0.0,0.0,4.7E-4,8.0E-5,1.9E-4
4.9,0.00253,0.0,0.0,0.0,0.0,4.0E-4,8.0E-5,1.5E-4
5.0,0.0019,0.0,0.0,0.0,0.0,3.0E-4,8.0E-5,1.3E-4
5.1,0.00148,0.0,0.0,0.0,0.0,2.8E-4,8.0E-5,1.1E-4
5.2,0.00114,0.0,0.0,0.0,0.0,2.5E-4,8.0E-5,1.0E-4
5.3,8.7E-4,0.0,0.0,0.0,0.0,1.8E-4,8.0E-5,6.0E-5
5.4,7.1E-4,0.0,0.0,0.0,0.0,1.7E-4,8.0E-5,6.0E-5
