Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.671352E-5,3.054092E-5,3.054092E-5,1.0,0.0,1.1448149E-4,1.308842E-4,1.408829E-4,1.0763934,1.0E-5,0.001392921,0.0015925488,0.0016025329,1.0062692,1.0E-5,0.013842222,0.015831076,0.015840918,1.0006217,1.0E-5
6.1,2.671352E-5,3.054092E-5,3.054092E-5,1.0,0.0,1.1448149E-4,1.308842E-4,1.408829E-4,1.0763934,1.0E-5,0.001392921,0.0015925488,0.0016025329,1.0062692,1.0E-5,0.013842222,0.015831076,0.015840918,1.0006217,1.0E-5
6.2,1.4197047E-5,1.618099E-5,1.618099E-5,1.0,0.0,6.0843064E-5,6.934582E-5,6.934582E-5,1.0,0.0,7.4051257E-4,8.44058E-4,8.44058E-4,1.0,0.0,0.007380498,0.008418321,0.008418321,1.0,0.0
6.3,1.4197047E-5,1.618099E-5,1.618099E-5,1.0,0.0,6.0843064E-5,6.934582E-5,6.934582E-5,1.0,0.0,7.4051257E-4,8.44058E-4,8.44058E-4,1.0,0.0,0.007380498,0.008418321,0.008418321,1.0,0.0
6.4,1.3238931E-5,1.5087349E-5,1.5087349E-5,1.0,0.0,5.6737044E-5,6.465903E-5,6.465903E-5,1.0,0.0,6.9055456E-4,7.8703836E-4,7.8703836E-4,1.0,0.0,0.006884126,0.007852239,0.007852239,1.0,0.0
6.5,1.3238931E-5,1.5087349E-5,1.5087349E-5,1.0,0.0,5.6737044E-5,6.465903E-5,6.465903E-5,1.0,0.0,6.9055456E-4,7.8703836E-4,7.8703836E-4,1.0,0.0,0.006884126,0.007852239,0.007852239,1.0,0.0
6.6,1.1328278E-5,1.2923178E-5,1.2923178E-5,1.0,0.0,4.8548856E-5,5.5384415E-5,5.5384415E-5,1.0,0.0,5.90922E-4,6.741934E-4,6.741934E-4,1.0,0.0,0.0058935313,0.0067309695,0.0067309695,1.0,0.0
6.7,8.651175E-6,9.876658E-6,9.876658E-6,1.0,0.0,3.707594E-5,4.232836E-5,4.232836E-5,1.0,0.0,4.5130608E-4,5.153174E-4,5.153174E-4,1.0,0.0,0.0045039062,0.0051501985,0.0051501985,1.0,0.0
6.8,1.0215377E-6,1.1815986E-6,1.1815986E-6,1.0,0.0,4.378012E-6,5.0639846E-6,5.0639846E-6,1.0,0.0,5.3300988E-5,6.165238E-5,6.165238E-5,1.0,0.0,5.3288206E-4,6.163642E-4,6.163642E-4,1.0,0.0
6.9,7.9360774E-7,9.3364173E-7,9.3364173E-7,1.0,0.0,3.4011714E-6,4.001316E-6,4.001316E-6,1.0,0.0,4.1408475E-5,4.8715003E-5,4.8715003E-5,1.0,0.0,4.140076E-4,4.8705033E-4,4.8705033E-4,1.0,0.0
7.0,7.4382757E-7,8.7987144E-7,8.7987144E-7,1.0,0.0,3.1878285E-6,3.7708724E-6,3.7708724E-6,1.0,0.0,3.8811122E-5,4.5909474E-5,4.5909474E-5,1.0,0.0,3.8804344E-4,4.590066E-4,4.590066E-4,1.0,0.0
7.1,6.4709513E-7,7.759767E-7,7.759767E-7,1.0,0.0,2.773262E-6,3.3256104E-6,3.3256104E-6,1.0,0.0,3.376394E-5,4.0488616E-5,4.0488616E-5,1.0,0.0,3.375881E-4,4.0481842E-4,4.0481842E-4,1.0,0.0
7.2,6.356704E-7,7.636455E-7,7.636455E-7,1.0,0.0,2.7242988E-6,3.2727628E-6,3.2727628E-6,1.0,0.0,3.3167835E-5,3.9845218E-5,3.9845218E-5,1.0,0.0,3.3162883E-4,3.9838676E-4,3.9838676E-4,1.0,0.0
7.3,5.7695723E-7,6.943571E-7,6.943571E-7,1.0,0.0,2.4726714E-6,2.975813E-6,2.975813E-6,1.0,0.0,3.0104358E-5,3.622998E-5,3.622998E-5,1.0,0.0,3.0100282E-4,3.6224653E-4,3.6224653E-4,1.0,0.0
7.4,5.209647E-7,6.23853E-7,6.23853E-7,1.0,0.0,2.232704E-6,2.6736534E-6,2.6736534E-6,1.0,0.0,2.718283E-5,3.25513E-5,3.25513E-5,1.0,0.0,2.7179506E-4,3.2547096E-4,3.2547096E-4,1.0,0.0
7.5,4.512955E-7,5.388315E-7,5.388315E-7,1.0,0.0,1.934122E-6,2.3092762E-6,2.3092762E-6,1.0,0.0,2.3547682E-5,2.811513E-5,2.811513E-5,1.0,0.0,2.3545188E-4,2.8112112E-4,2.8112112E-4,1.0,0.0
7.6,2.21172E-7,2.6276138E-7,2.6276138E-7,1.0,0.0,9.478797E-7,1.1261199E-6,1.1261199E-6,1.0,0.0,1.1540374E-5,1.3710453E-5,1.3710453E-5,1.0,0.0,1.1539775E-4,1.3709893E-4,1.3709893E-4,1.0,0.0
