Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.151163E-4,0.0010510404,0.0010610298,1.0095044,1.0E-5,0.002205774,0.004493024,0.004502979,1.0022156,1.0E-5,0.026526777,0.052737042,0.052746516,1.0001796,1.0E-5,0.23574181,0.38428178,0.38428792,1.000016,1.0E-5
6.1,4.7540772E-4,9.7387773E-4,9.83868E-4,1.0102582,1.0E-5,0.002035871,0.004163873,0.004173831,1.0023916,1.0E-5,0.024506707,0.048986353,0.048995864,1.0001942,1.0E-5,0.21973366,0.36351907,0.36352542,1.0000175,1.0E-5
6.2,3.9647578E-4,7.9792336E-4,8.079154E-4,1.0125226,1.0E-5,0.0016980754,0.0034127696,0.0034227355,1.0029202,1.0E-5,0.020479038,0.040356316,0.040365912,1.0002378,1.0E-5,0.18691239,0.31220686,0.31221375,1.000022,1.0E-5
6.3,3.4640636E-4,6.868761E-4,6.968692E-4,1.0145487,1.0E-5,0.001483754,0.0029385583,0.0029485289,1.003393,1.0E-5,0.017915692,0.034876604,0.034886252,1.0002767,1.0E-5,0.16538206,0.2781097,0.2781169,1.000026,1.0E-5
6.4,2.935057E-4,5.67266E-4,5.7726033E-4,1.0176184,1.0E-5,0.0012572751,0.0024275985,0.0024375743,1.0041093,1.0E-5,0.015200248,0.028938137,0.028947849,1.0003356,1.0E-5,0.14201577,0.23933919,0.23934679,1.0000318,1.0E-5
6.5,2.3409708E-4,4.3371724E-4,4.437129E-4,1.0230465,1.0E-5,0.0010028875,0.0018567805,0.0018667618,1.0053756,1.0E-5,0.012141965,0.022253547,0.022263324,1.0004394,1.0E-5,0.11499573,0.19289884,0.19290692,1.0000418,1.0E-5
6.6,1.5842178E-4,2.6351245E-4,2.7350982E-4,1.0379388,1.0E-5,6.7877385E-4,0.0011288415,0.0011388303,1.0088487,1.0E-5,0.0082328,0.013656045,0.013665909,1.0007223,1.0E-5,0.07934396,0.12875828,0.128767,1.0000677,1.0E-5
6.7,1.5616413E-4,2.5888951E-4,2.6888694E-4,1.0386165,1.0E-5,6.691031E-4,0.0011090486,0.0011190375,1.0090067,1.0E-5,0.0081159435,0.013418522,0.013428388,1.0007353,1.0E-5,0.0782586,0.12679008,0.12679881,1.0000689,1.0E-5
6.8,1.5538467E-4,2.5713918E-4,2.671366E-4,1.0388794,1.0E-5,6.6576427E-4,0.0011015541,0.001111543,1.0090681,1.0E-5,0.008075596,0.013328519,0.013338385,1.0007403,1.0E-5,0.07788358,0.12602812,0.12603685,1.0000694,1.0E-5
6.9,1.5153569E-4,2.4833297E-4,2.583305E-4,1.0402585,1.0E-5,6.49277E-4,0.0010638521,0.0010738415,1.0093898,1.0E-5,0.007876333,0.012876055,0.012885927,1.0007666,1.0E-5,0.07602952,0.12215508,0.122163855,1.0000719,1.0E-5
7.0,1.4588932E-4,2.3689358E-4,2.468912E-4,1.0422031,1.0E-5,6.250901E-4,0.0010148652,0.0010248551,1.0098435,1.0E-5,0.0075839474,0.012286532,0.012296408,1.000804,1.0E-5,0.073302895,0.11702275,0.11703158,1.0000755,1.0E-5
7.1,1.1565079E-4,1.7467531E-4,1.8467355E-4,1.057239,1.0E-5,4.955521E-4,7.4839464E-4,7.5838715E-4,1.0133519,1.0E-5,0.006016669,0.009073867,0.009083777,1.0010921,1.0E-5,0.058563538,0.08904292,0.08905203,1.0001023,1.0E-5
7.2,1.0393792E-4,1.5744315E-4,1.6744157E-4,1.0635049,1.0E-5,4.4537216E-4,6.7458267E-4,6.8457593E-4,1.014814,1.0E-5,0.005408933,0.008182308,0.008192226,1.0012121,1.0E-5,0.052791595,0.08075969,0.08076888,1.0001138,1.0E-5
7.3,9.332884E-5,1.3843122E-4,1.4842984E-4,1.0722281,1.0E-5,3.999194E-4,5.9314247E-4,6.0313655E-4,1.0168494,1.0E-5,0.0048581534,0.00719775,0.0072076777,1.0013794,1.0E-5,0.047533102,0.07137775,0.07138703,1.00013,1.0E-5
