Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,6.71292,1.0,18.0,5.0,4.0,0.98551,2.4E-4,3.74903
2.6,5.34168,0.0,14.0,4.0,3.0,0.96683,2.4E-4,2.98182
2.7,4.24735,0.0,12.0,3.0,2.0,0.93527,2.4E-4,2.37151
2.8,3.37876,0.0,10.0,2.0,2.0,0.8898,2.4E-4,1.88965
2.9,2.68241,0.0,8.0,2.0,1.0,0.82858,2.4E-4,1.50066
3.0,2.12785,0.0,7.0,1.0,1.0,0.75722,2.4E-4,1.19012
3.1,1.69141,0.0,6.0,1.0,1.0,0.68051,2.4E-4,0.94591
3.2,1.3441,0.0,5.0,1.0,0.0,0.59986,2.4E-4,0.75222
3.3,1.07147,0.0,4.0,1.0,0.0,0.52357,2.4E-4,0.60011
3.4,0.85205,0.0,4.0,0.0,0.0,0.44887,2.4E-4,0.47703
3.5,0.67609,0.0,3.0,0.0,0.0,0.38087,2.4E-4,0.37882
3.6,0.53644,0.0,3.0,0.0,0.0,0.31854,2.4E-4,0.30005
3.7,0.42682,0.0,2.0,0.0,0.0,0.26563,2.4E-4,0.23874
3.8,0.33848,0.0,2.0,0.0,0.0,0.21982,2.4E-4,0.18943
3.9,0.26864,0.0,2.0,0.0,0.0,0.18036,2.4E-4,0.15031
4.0,0.21487,0.0,2.0,0.0,0.0,0.14853,2.4E-4,0.12022
4.1,0.17115,0.0,1.0,0.0,0.0,0.12136,2.4E-4,0.09593
4.2,0.1358,0.0,1.0,0.0,0.0,0.09866,2.4E-4,0.07616
4.3,0.10755,0.0,1.0,0.0,0.0,0.08017,2.4E-4,0.06027
4.4,0.08564,0.0,1.0,0.0,0.0,0.06504,2.4E-4,0.04814
4.5,0.06738,0.0,1.0,0.0,0.0,0.0518,2.4E-4,0.0375
4.6,0.05371,0.0,1.0,0.0,0.0,0.04198,2.4E-4,0.02973
4.7,0.04215,0.0,1.0,0.0,0.0,0.03345,2.4E-4,0.02327
4.8,0.03302,0.0,1.0,0.0,0.0,0.02652,2.4E-4,0.01828
4.9,0.02616,0.0,0.0,0.0,0.0,0.0212,2.4E-4,0.01452
5.0,0.02075,0.0,0.0,0.0,0.0,0.01703,2.4E-4,0.01157
5.1,0.01636,0.0,0.0,0.0,0.0,0.0135,2.4E-4,0.00916
5.2,0.01281,0.0,0.0,0.0,0.0,0.01071,2.4E-4,0.00731
5.3,0.00977,0.0,0.0,0.0,0.0,0.00837,2.4E-4,0.0057
5.4,0.00748,0.0,0.0,0.0,0.0,0.00649,2.4E-4,0.00445
5.5,0.00581,0.0,0.0,0.0,0.0,0.00505,2.4E-4,0.00344
5.6,0.00464,0.0,0.0,0.0,0.0,0.00406,2.4E-4,0.00273
5.7,0.0037,0.0,0.0,0.0,0.0,0.00326,2.4E-4,0.0022
5.8,0.00286,0.0,0.0,0.0,0.0,0.00254,2.4E-4,0.0017
5.9,0.00204,0.0,0.0,0.0,0.0,0.00178,2.4E-4,0.00114
6.0,0.0016,0.0,0.0,0.0,0.0,0.00138,2.4E-4,8.8E-4
6.1,0.00103,0.0,0.0,0.0,0.0,9.1E-4,2.4E-4,5.3E-4
6.2,6.6E-4,0.0,0.0,0.0,0.0,5.8E-4,2.4E-4,3.4E-4
6.3,4.8E-4,0.0,0.0,0.0,0.0,4.4E-4,2.2E-4,2.5E-4
6.4,4.1E-4,0.0,0.0,0.0,0.0,3.8E-4,2.2E-4,2.3E-4
6.5,3.6E-4,0.0,0.0,0.0,0.0,3.3E-4,2.2E-4,1.9E-4
6.6,2.8E-4,0.0,0.0,0.0,0.0,2.6E-4,2.1E-4,1.8E-4
6.7,2.1E-4,0.0,0.0,0.0,0.0,2.0E-4,1.8E-4,1.5E-4
6.8,1.9E-4,0.0,0.0,0.0,0.0,1.8E-4,1.6E-4,1.3E-4
6.9,1.9E-4,0.0,0.0,0.0,0.0,1.8E-4,1.6E-4,1.3E-4
7.0,1.9E-4,0.0,0.0,0.0,0.0,1.8E-4,1.6E-4,1.3E-4
7.1,1.2E-4,0.0,0.0,0.0,0.0,1.1E-4,1.1E-4,1.0E-4
7.2,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,6.0E-5,4.0E-5
7.3,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,3.0E-5
7.4,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,2.0E-5
7.5,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,2.0E-5
7.6,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,2.0E-5
7.7,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,1.0E-5
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
