Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,0.00506,0.0,0.0,0.0,0.0,0.00386,0.0,0.00167
2.6,0.00425,0.0,0.0,0.0,0.0,0.00328,0.0,0.00141
2.7,0.00333,0.0,0.0,0.0,0.0,0.00268,0.0,0.00113
2.8,0.00252,0.0,0.0,0.0,0.0,0.00205,0.0,8.2E-4
2.9,0.00198,0.0,0.0,0.0,0.0,0.00165,0.0,5.9E-4
3.0,0.00166,0.0,0.0,0.0,0.0,0.00136,0.0,4.7E-4
3.1,0.00136,0.0,0.0,0.0,0.0,0.00113,0.0,4.2E-4
3.2,0.00119,0.0,0.0,0.0,0.0,0.00101,0.0,3.6E-4
3.3,9.4E-4,0.0,0.0,0.0,0.0,8.1E-4,0.0,2.6E-4
3.4,7.8E-4,0.0,0.0,0.0,0.0,6.7E-4,0.0,2.4E-4
3.5,6.1E-4,0.0,0.0,0.0,0.0,5.2E-4,0.0,1.9E-4
3.6,4.6E-4,0.0,0.0,0.0,0.0,4.1E-4,0.0,1.3E-4
3.7,3.8E-4,0.0,0.0,0.0,0.0,3.5E-4,0.0,9.0E-5
3.8,3.1E-4,0.0,0.0,0.0,0.0,2.8E-4,0.0,7.0E-5
3.9,2.3E-4,0.0,0.0,0.0,0.0,2.2E-4,0.0,4.0E-5
4.0,1.7E-4,0.0,0.0,0.0,0.0,1.6E-4,0.0,3.0E-5
4.1,1.3E-4,0.0,0.0,0.0,0.0,1.3E-4,0.0,3.0E-5
4.2,9.0E-5,0.0,0.0,0.0,0.0,9.0E-5,0.0,3.0E-5
4.3,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,0.0,1.0E-5
4.4,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,0.0,1.0E-5
4.5,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,0.0,1.0E-5
4.6,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,0.0,1.0E-5
4.7,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,0.0,1.0E-5
4.8,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,0.0,1.0E-5
4.9,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
