Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,2.99185,0.0,14.0,1.0,0.0,0.53546,1.1E-4,0.96033
2.6,2.38143,0.0,11.0,0.0,0.0,0.48308,1.1E-4,0.76364
2.7,1.8936,0.0,9.0,0.0,0.0,0.43133,1.1E-4,0.60646
2.8,1.50609,0.0,7.0,0.0,0.0,0.38238,1.1E-4,0.48214
2.9,1.19573,0.0,6.0,0.0,0.0,0.33597,1.1E-4,0.38311
3.0,0.95172,0.0,5.0,0.0,0.0,0.29269,1.1E-4,0.30475
3.1,0.75672,0.0,4.0,0.0,0.0,0.25299,1.1E-4,0.24218
3.2,0.60271,0.0,3.0,0.0,0.0,0.2168,1.1E-4,0.19316
3.3,0.47987,0.0,3.0,0.0,0.0,0.18479,1.1E-4,0.15457
3.4,0.38037,0.0,2.0,0.0,0.0,0.15607,1.1E-4,0.12228
3.5,0.30178,0.0,2.0,0.0,0.0,0.13069,1.1E-4,0.09665
3.6,0.23972,0.0,2.0,0.0,0.0,0.10889,1.1E-4,0.07672
3.7,0.18994,0.0,1.0,0.0,0.0,0.09069,1.1E-4,0.06086
3.8,0.15071,0.0,1.0,0.0,0.0,0.07487,1.1E-4,0.0479
3.9,0.11915,0.0,1.0,0.0,0.0,0.0617,1.1E-4,0.03781
4.0,0.09495,0.0,1.0,0.0,0.0,0.05116,1.1E-4,0.03024
4.1,0.07562,0.0,1.0,0.0,0.0,0.04223,1.1E-4,0.02411
4.2,0.06021,0.0,1.0,0.0,0.0,0.03458,1.1E-4,0.01899
4.3,0.04775,0.0,1.0,0.0,0.0,0.02838,1.1E-4,0.01489
4.4,0.03843,0.0,0.0,0.0,0.0,0.02361,1.1E-4,0.01202
4.5,0.03074,0.0,0.0,0.0,0.0,0.01929,1.1E-4,0.00945
4.6,0.02414,0.0,0.0,0.0,0.0,0.01552,1.1E-4,0.00744
4.7,0.01915,0.0,0.0,0.0,0.0,0.0125,1.1E-4,0.00584
4.8,0.01518,0.0,0.0,0.0,0.0,0.01019,1.1E-4,0.00464
4.9,0.01202,0.0,0.0,0.0,0.0,0.00816,1.1E-4,0.00366
