Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,14.77212,3.0,40.0,10.0,9.0,0.99969,5.2E-4,7.36949
2.6,11.75002,2.0,32.0,8.0,7.0,0.99864,5.2E-4,5.86011
2.7,9.33829,1.0,26.0,6.0,5.0,0.9948,5.2E-4,4.65642
2.8,7.42506,1.0,21.0,5.0,4.0,0.98548,5.2E-4,3.70567
2.9,5.89691,0.0,17.0,4.0,3.0,0.96676,5.2E-4,2.94312
3.0,4.68327,0.0,14.0,3.0,2.0,0.93629,5.2E-4,2.3367
3.1,3.72136,0.0,11.0,2.0,2.0,0.89118,5.2E-4,1.85795
3.2,2.95389,0.0,9.0,2.0,1.0,0.83164,5.2E-4,1.47553
3.3,2.34782,0.0,8.0,1.0,1.0,0.76198,5.2E-4,1.17492
3.4,1.86678,0.0,7.0,1.0,0.0,0.68485,5.2E-4,0.933
3.5,1.48142,0.0,6.0,1.0,0.0,0.60611,5.2E-4,0.74081
3.6,1.17489,0.0,5.0,1.0,0.0,0.5261,5.2E-4,0.58706
3.7,0.93421,0.0,4.0,0.0,0.0,0.45219,5.2E-4,0.46687
3.8,0.7431,0.0,3.0,0.0,0.0,0.38486,5.2E-4,0.37164
3.9,0.59022,0.0,3.0,0.0,0.0,0.32347,5.2E-4,0.29576
4.0,0.47127,0.0,3.0,0.0,0.0,0.2714,5.2E-4,0.23679
4.1,0.37355,0.0,2.0,0.0,0.0,0.22501,5.2E-4,0.18827
4.2,0.29552,0.0,2.0,0.0,0.0,0.18464,5.2E-4,0.14822
4.3,0.23426,0.0,2.0,0.0,0.0,0.15124,5.2E-4,0.11725
4.4,0.18661,0.0,2.0,0.0,0.0,0.1235,5.2E-4,0.09364
4.5,0.14768,0.0,1.0,0.0,0.0,0.10002,5.2E-4,0.07382
4.6,0.11722,0.0,1.0,0.0,0.0,0.08139,5.2E-4,0.05813
4.7,0.0923,0.0,1.0,0.0,0.0,0.06551,5.2E-4,0.04573
4.8,0.07315,0.0,1.0,0.0,0.0,0.05263,5.2E-4,0.03621
4.9,0.05808,0.0,1.0,0.0,0.0,0.04236,5.2E-4,0.02871
5.0,0.04595,0.0,1.0,0.0,0.0,0.03425,5.2E-4,0.02304
5.1,0.03625,0.0,1.0,0.0,0.0,0.02735,5.2E-4,0.0182
5.2,0.02824,0.0,0.0,0.0,0.0,0.02168,5.2E-4,0.01427
5.3,0.02184,0.0,0.0,0.0,0.0,0.01719,5.2E-4,0.01113
5.4,0.01687,0.0,0.0,0.0,0.0,0.01347,5.2E-4,0.0086
5.5,0.01306,0.0,0.0,0.0,0.0,0.01052,5.2E-4,0.00661
5.6,0.01028,0.0,0.0,0.0,0.0,0.00836,5.2E-4,0.0052
5.7,0.00796,0.0,0.0,0.0,0.0,0.00662,5.2E-4,0.00404
