Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1747814720410,ci40971847,0.98,33.098835,-116.52433,6.13
1747746298520,ci41157216,1.03,33.117,-116.519,13.58
1747670267570,ci41156424,0.62,33.1195,-116.51117,13.44
1747664556490,ci41156304,1.05,33.031,-116.5865,13.17
1747401421460,ci41154184,0.56,33.066833,-116.5975,13.05
1747321803810,ci41153472,0.52,32.9805,-116.392,4.63
1747302466370,ci41153336,0.94,32.98033,-116.394,4.52
1747302000360,ci41153328,1.26,32.97983,-116.39633,3.91
1747268718580,ci41153128,1.22,33.166332,-116.53267,15.06
1747252019510,ci41152928,1.0,33.062332,-116.6075,12.89
1747120981570,ci41152072,0.82,33.071335,-116.6065,12.16
1747058948240,ci41151448,0.46,33.136166,-116.62517,3.51
1747042062830,ci41151344,0.59,33.059166,-116.53917,16.33
1746964154750,ci41150832,0.14,33.0525,-116.5765,12.6
1746951552910,ci41150760,1.68,33.14633,-116.59,14.46
1746932226390,ci41150632,0.79,33.189835,-116.704,9.52
1746904301950,ci41150256,0.67,33.06,-116.609665,12.27
1746799892260,ci41148952,0.12,33.067833,-116.6105,13.07
1746719270770,ci41147928,0.48,33.0685,-116.412834,14.2
1746643740970,ci41146968,0.58,33.050835,-116.5965,14.43
1746610942570,ci41146504,0.74,33.032,-116.48217,15.89
1746598828340,ci41146456,0.73,33.061832,-116.61017,12.64
1746492192090,ci41145504,0.67,33.038834,-116.5785,13.1
1746455175950,ci41145056,0.81,33.0365,-116.40967,7.86
1746441591930,ci41145016,0.72,33.054832,-116.606834,13.58
1746376430010,ci41144696,1.15,33.059,-116.60516,12.73
1746352091280,ci41144576,2.69,33.1005,-116.46817,11.01
1746296378100,ci41144056,1.62,33.037834,-116.402664,13.09
1746293980360,ci41144032,0.6,33.060165,-116.60733,12.71
1746276776920,ci41143824,0.44,32.939835,-116.46467,8.75
1746251981470,ci41143672,0.72,33.001167,-116.46767,9.16
1746248476790,ci41143640,0.5,33.033333,-116.3955,11.62
1746189073750,ci41142880,0.96,33.050167,-116.4605,8.18
1746178406200,ci41142776,0.61,33.048668,-116.581665,12.18
1746172580260,ci41142696,0.83,33.048832,-116.584335,12.4
1746072695070,ci41141208,0.61,33.034832,-116.5825,13.48
1746014524320,ci41140360,0.62,33.044666,-116.42133,8.98
1745998147500,ci41140248,0.36,33.04,-116.56883,12.96
1745947251190,ci41139616,0.63,33.0465,-116.6015,13.77
1745681496700,ci41135480,0.84,33.058834,-116.59233,14.96
1745667503210,ci41135024,0.99,33.072,-116.6295,13.29
1745648710700,ci41134776,0.34,33.15383,-116.4495,7.53
1745583910190,ci41132992,1.35,33.06983,-116.61317,13.69
1745579572420,ci41132512,0.71,33.033333,-116.57833,12.98
1745515168940,ci40940295,1.16,33.031834,-116.399,10.99
1745493963990,ci40939895,0.31,33.043335,-116.59067,13.95
1745486464680,ci40939839,0.23,33.075333,-116.60817,13.13
1745460691830,ci37543501,0.52,33.09,-116.5945,11.49
1745438786210,ci40939239,2.2,33.057,-116.6155,12.15
1745417527090,ci40938639,0.66,33.067833,-116.60333,13.01
1745401572940,ci40938463,0.61,33.072834,-116.600334,11.93
1745401216210,ci40938447,1.39,33.09133,-116.6265,14.36
