Time (days),ComCat Data
0.0,0.0
4.7419564E-4,0.0
9.483913E-4,0.0
0.001422587,2.0
0.0018967825,3.0
0.0023709782,4.0
0.002845174,7.0
0.0033193694,8.0
0.003793565,9.0
0.0042677606,11.0
0.0047419565,11.0
0.005216152,12.0
0.005690348,13.0
0.0061645433,13.0
0.006638739,15.0
0.0071129347,15.0
0.00758713,16.0
0.008061326,18.0
0.008535521,19.0
0.009009717,21.0
0.009483913,22.0
0.009958108,23.0
0.010432304,25.0
0.0109065,25.0
0.011380696,26.0
0.011854891,28.0
0.012329087,29.0
0.012803283,29.0
0.013277478,29.0
0.0137516735,31.0
0.014225869,31.0
0.014700064,33.0
0.01517426,34.0
0.015648456,36.0
0.016122652,36.0
0.016596848,37.0
0.017071042,37.0
0.017545238,38.0
0.018019434,40.0
0.01849363,41.0
0.018967826,42.0
0.019442022,44.0
0.019916216,44.0
0.020390412,45.0
0.020864608,45.0
0.021338804,45.0
0.021813,45.0
0.022287196,46.0
0.022761391,46.0
0.023235586,46.0
0.023709781,46.0
0.024183977,46.0
0.024658173,46.0
0.02513237,47.0
0.025606565,48.0
0.02608076,48.0
0.026554955,48.0
0.027029151,48.0
0.027503347,48.0
0.027977543,49.0
0.028451739,49.0
0.028925933,50.0
0.029400129,50.0
0.029874325,51.0
0.03034852,52.0
0.030822717,53.0
0.031296913,54.0
0.03177111,54.0
0.032245304,54.0
0.0327195,54.0
0.033193696,55.0
0.03366789,56.0
0.034142084,56.0
0.03461628,56.0
0.035090476,56.0
0.035564672,57.0
0.036038868,58.0
0.036513064,59.0
0.03698726,59.0
0.037461456,59.0
0.03793565,59.0
0.038409848,59.0
0.038884044,59.0
0.03935824,60.0
0.03983243,60.0
0.040306628,60.0
0.040780824,60.0
0.04125502,60.0
0.041729216,60.0
0.04220341,60.0
0.042677607,60.0
0.043151803,60.0
0.043626,60.0
0.044100195,60.0
0.04457439,62.0
0.045048587,62.0
0.045522783,62.0
0.045996975,62.0
0.04647117,63.0
0.046945367,63.0
0.047419563,64.0
0.04789376,64.0
0.048367955,64.0
0.04884215,64.0
0.049316347,64.0
0.049790543,64.0
0.05026474,64.0
0.050738934,65.0
0.05121313,67.0
0.051687323,68.0
0.05216152,69.0
0.052635714,70.0
0.05310991,70.0
0.053584106,71.0
0.054058302,72.0
0.054532498,72.0
0.055006694,73.0
0.05548089,73.0
0.055955086,75.0
0.05642928,75.0
0.056903478,75.0
0.057377674,76.0
0.057851866,77.0
0.05832606,77.0
0.058800258,78.0
0.059274454,79.0
0.05974865,79.0
0.060222846,80.0
0.06069704,80.0
0.061171237,80.0
0.061645433,80.0
0.06211963,80.0
0.062593825,80.0
0.06306802,80.0
0.06354222,80.0
0.06401641,80.0
0.06449061,80.0
0.0649648,80.0
0.065439,80.0
0.06591319,81.0
0.06638739,81.0
0.066861585,81.0
0.06733578,81.0
0.06780998,81.0
0.06828417,82.0
0.06875837,82.0
0.06923256,82.0
0.06970676,82.0
0.07018095,83.0
0.07065515,83.0
0.071129344,83.0
0.071603544,84.0
0.072077736,84.0
0.072551936,85.0
0.07302613,85.0
0.07350032,87.0
0.07397452,87.0
0.07444871,88.0
0.07492291,88.0
0.075397104,88.0
0.0758713,88.0
0.076345496,89.0
0.076819696,89.0
0.07729389,90.0
0.07776809,90.0
0.07824228,91.0
0.07871648,91.0
0.07919067,92.0
0.07966486,92.0
0.08013906,92.0
0.080613256,92.0
0.081087455,92.0
0.08156165,92.0
0.08203585,92.0
0.08251004,92.0
0.08298424,92.0
0.08345843,93.0
0.08393263,93.0
0.08440682,93.0
0.08488102,93.0
0.085355215,93.0
0.08582941,93.0
0.08630361,94.0
0.0867778,94.0
0.087252,94.0
0.08772619,95.0
0.08820039,95.0
0.08867458,95.0
0.08914878,95.0
0.089622974,96.0
0.090097174,97.0
0.090571366,97.0
0.091045566,98.0
0.09151976,98.0
0.09199395,99.0
0.09246815,99.0
0.09294234,100.0
0.09341654,100.0
0.093890734,100.0
0.09436493,100.0
0.094839126,100.0
0.095313326,101.0
0.09578752,101.0
0.09626172,101.0
0.09673591,102.0
0.09721011,102.0
0.0976843,102.0
0.09815849,102.0
0.09863269,102.0
0.099106885,102.0
0.099581085,102.0
0.10005528,102.0
0.10052948,102.0
0.10100367,102.0
0.10147787,104.0
0.10195206,104.0
0.10242626,104.0
0.10290045,104.0
0.103374645,104.0
