Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7059663E-5,2.5890993E-5,3.5890735E-5,1.3862247,1.0E-5,1.1596483E-4,1.1095724E-4,1.3095503E-4,1.1802297,2.0E-5,0.0014109573,0.0013501669,0.0013801263,1.0221895,3.0E-5,0.014020323,0.0134275,0.013536023,1.0080822,1.1E-4
6.1,2.1505624E-5,2.5890993E-5,3.5890735E-5,1.3862247,1.0E-5,9.2163704E-5,1.1095724E-4,1.3095503E-4,1.1802297,2.0E-5,0.0011215154,0.0013501669,0.0013801263,1.0221895,3.0E-5,0.011158722,0.0134275,0.013536023,1.0080822,1.1E-4
6.2,2.1505624E-5,2.5890993E-5,3.5890735E-5,1.3862247,1.0E-5,9.2163704E-5,1.1095724E-4,1.3095503E-4,1.1802297,2.0E-5,0.0011215154,0.0013501669,0.0013801263,1.0221895,3.0E-5,0.011158722,0.0134275,0.013536023,1.0080822,1.1E-4
6.3,1.4290785E-5,1.7810473E-5,2.7810294E-5,1.5614574,1.0E-5,6.1244784E-5,7.6328615E-5,9.632709E-5,1.262005,2.0E-5,7.454001E-4,9.289487E-4,9.489301E-4,1.0215098,2.0E-5,0.007429048,0.0092529375,0.009312383,1.0064244,6.0E-5
6.4,1.4290785E-5,1.7810473E-5,2.7810294E-5,1.5614574,1.0E-5,6.1244784E-5,7.6328615E-5,9.632709E-5,1.262005,2.0E-5,7.454001E-4,9.289487E-4,9.489301E-4,1.0215098,2.0E-5,0.007429048,0.0092529375,0.009312383,1.0064244,6.0E-5
6.5,1.3017944E-5,1.6376876E-5,2.6376712E-5,1.610607,1.0E-5,5.5789995E-5,7.0184964E-5,9.018356E-5,1.2849413,2.0E-5,6.790315E-4,8.542096E-4,8.741925E-4,1.0233935,2.0E-5,0.0067696036,0.008511388,0.008570877,1.0069894,6.0E-5
6.6,9.470016E-6,1.1830411E-5,2.1830292E-5,1.8452692,1.0E-5,4.058515E-5,5.070096E-5,6.0700455E-5,1.197225,1.0E-5,4.940122E-4,6.171425E-4,6.271363E-4,1.0161937,1.0E-5,0.004929154,0.0061556255,0.006195379,1.0064582,4.0E-5
6.7,8.314155E-6,1.0213275E-5,2.0213174E-5,1.9791079,1.0E-5,3.5631605E-5,4.3770622E-5,5.3770185E-5,1.2284538,1.0E-5,4.3372845E-4,5.328085E-4,5.4280314E-4,1.0187584,1.0E-5,0.004328829,0.0053169727,0.00535676,1.0074831,4.0E-5
6.8,3.4856364E-6,3.7224736E-6,1.3722436E-5,3.6863759,1.0E-5,1.4938357E-5,1.595337E-5,2.5953212E-5,1.6268167,1.0E-5,1.8185932E-4,1.942168E-4,2.0421486E-4,1.0514789,1.0E-5,0.0018171056,0.0019412758,0.001981198,1.020565,4.0E-5
6.9,2.2645952E-6,2.1682265E-6,1.2168205E-5,5.612054,1.0E-5,9.705372E-6,9.292367E-6,1.9292274E-5,2.076142,1.0E-5,1.18156495E-4,1.1312892E-4,1.2312779E-4,1.0883847,1.0E-5,0.0011809369,0.0011310373,0.0011709919,1.0353258,4.0E-5
