Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.753342E-5,8.2096005E-5,8.2096005E-5,1.0,0.0,2.8939685E-4,3.5179465E-4,3.717876E-4,1.0568314,2.0E-5,0.003517715,0.0042750756,0.004324862,1.0116457,5.0E-5,0.034625497,0.041973736,0.042031217,1.0013695,6.0E-5
6.1,4.1807285E-5,4.9980812E-5,4.9980812E-5,1.0,0.0,1.7916178E-4,2.1418613E-4,2.24184E-4,1.0466783,1.0E-5,0.0021791123,0.0026046878,0.0026346098,1.0114877,3.0E-5,0.021578677,0.025752103,0.025791073,1.0015132,4.0E-5
6.2,4.1807285E-5,4.9980812E-5,4.9980812E-5,1.0,0.0,1.7916178E-4,2.1418613E-4,2.24184E-4,1.0466783,1.0E-5,0.0021791123,0.0026046878,0.0026346098,1.0114877,3.0E-5,0.021578677,0.025752103,0.025791073,1.0015132,4.0E-5
6.3,3.1793104E-5,3.7527356E-5,3.7527356E-5,1.0,0.0,1.3624904E-4,1.608218E-4,1.608218E-4,1.0,0.0,0.0016575698,0.0019562813,0.001976242,1.0102035,2.0E-5,0.016452603,0.019394737,0.01941435,1.0010113,2.0E-5
6.4,2.9878007E-5,3.518963E-5,3.518963E-5,1.0,0.0,1.2804232E-4,1.5080418E-4,1.5080418E-4,1.0,0.0,0.0015578003,0.0018345279,0.0018544912,1.010882,2.0E-5,0.015469253,0.018197741,0.018217377,1.0010791,2.0E-5
6.5,2.4512565E-5,2.8689492E-5,2.8689492E-5,1.0,0.0,1.0504962E-4,1.229493E-4,1.229493E-4,1.0,0.0,0.0012782287,0.001495907,0.001505892,1.0066749,1.0E-5,0.012709012,0.014861371,0.014871223,1.0006629,1.0E-5
6.6,2.1317413E-5,2.486086E-5,2.486086E-5,1.0,0.0,9.135714E-5,1.0654231E-4,1.0654231E-4,1.0,0.0,0.0011117056,0.001296403,0.00130639,1.0077037,1.0E-5,0.011061605,0.012890818,0.012900689,1.0007658,1.0E-5
6.7,1.8585655E-5,2.1607742E-5,2.1607742E-5,1.0,0.0,7.9650374E-5,9.260144E-5,9.260144E-5,1.0,0.0,9.6931186E-4,0.0011268598,0.0011268598,1.0,0.0,0.0096509475,0.011213613,0.011213613,1.0,0.0
6.8,1.5862879E-5,1.8401894E-5,1.8401894E-5,1.0,0.0,6.798199E-5,7.8862984E-5,7.8862984E-5,1.0,0.0,8.273665E-4,9.5975306E-4,9.5975306E-4,1.0,0.0,0.008242928,0.0095580565,0.0095580565,1.0,0.0
6.9,1.3021509E-5,1.508224E-5,1.508224E-5,1.0,0.0,5.5805274E-5,6.463667E-5,6.463667E-5,1.0,0.0,6.792174E-4,7.866854E-4,7.866854E-4,1.0,0.0,0.006771452,0.007840822,0.007840822,1.0,0.0
7.0,1.0974371E-5,1.2707888E-5,1.2707888E-5,1.0,0.0,4.7032172E-5,5.4461343E-5,5.4461343E-5,1.0,0.0,5.7246623E-4,6.6288264E-4,6.6288264E-4,1.0,0.0,0.0057099373,0.006610796,0.006610796,1.0,0.0
7.1,8.766221E-6,1.0151318E-5,1.0151318E-5,1.0,0.0,3.7568978E-5,4.3505017E-5,4.3505017E-5,1.0,0.0,4.573063E-4,5.29562E-4,5.29562E-4,1.0,0.0,0.0045636636,0.005284694,0.005284694,1.0,0.0
7.2,8.026024E-7,8.322313E-7,8.322313E-7,1.0,0.0,3.43972E-6,3.5667008E-6,3.5667008E-6,1.0,0.0,4.1877785E-5,4.3423726E-5,4.3423726E-5,1.0,0.0,4.1869894E-4,4.341535E-4,4.341535E-4,1.0,0.0
7.3,3.7293114E-7,3.6957266E-7,3.6957266E-7,1.0,0.0,1.5982754E-6,1.5838818E-6,1.5838818E-6,1.0,0.0,1.9458828E-5,1.9283592E-5,1.9283592E-5,1.0,0.0,1.9457124E-4,1.9281925E-4,1.9281925E-4,1.0,0.0
7.4,2.0557036E-7,1.9656915E-7,1.9656915E-7,1.0,0.0,8.810155E-7,8.424389E-7,8.424389E-7,1.0,0.0,1.0726311E-5,1.02566455E-5,1.02566455E-5,1.0,0.0,1.0725793E-4,1.0256175E-4,1.0256175E-4,1.0,0.0
7.5,6.845446E-8,6.274678E-8,6.274678E-8,1.0,0.0,2.9337625E-7,2.6891473E-7,2.6891473E-7,1.0,0.0,3.5718497E-6,3.2740322E-6,3.2740322E-6,1.0,0.0,3.5717923E-5,3.273985E-5,3.273985E-5,1.0,0.0
7.6,6.0975145E-9,5.535216E-9,5.535216E-9,1.0,0.0,2.6132206E-8,2.3722354E-8,2.3722354E-8,1.0,0.0,3.1815955E-7,2.8881965E-7,2.8881965E-7,1.0,0.0,3.181591E-6,2.8881936E-6,2.8881936E-6,1.0,0.0
