Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.2407607E-5,2.3711124E-5,2.3711124E-5,1.0,0.0,9.602906E-5,1.0161539E-4,1.0161539E-4,1.0,0.0,0.0011685267,0.0012365095,0.0012365095,1.0,0.0,0.011624013,0.012300829,0.012310706,1.000803,1.0E-5
6.1,2.2407607E-5,2.3711124E-5,2.3711124E-5,1.0,0.0,9.602906E-5,1.0161539E-4,1.0161539E-4,1.0,0.0,0.0011685267,0.0012365095,0.0012365095,1.0,0.0,0.011624013,0.012300829,0.012310706,1.000803,1.0E-5
6.2,1.0781252E-5,1.1390816E-5,1.1390816E-5,1.0,0.0,4.620455E-5,4.8816895E-5,4.8816895E-5,1.0,0.0,5.623952E-4,5.9418764E-4,5.9418764E-4,1.0,0.0,0.00560974,0.00592641,0.00592641,1.0,0.0
6.3,1.0781252E-5,1.1390816E-5,1.1390816E-5,1.0,0.0,4.620455E-5,4.8816895E-5,4.8816895E-5,1.0,0.0,5.623952E-4,5.9418764E-4,5.9418764E-4,1.0,0.0,0.00560974,0.00592641,0.00592641,1.0,0.0
6.4,7.814439E-6,8.255949E-6,8.255949E-6,1.0,0.0,3.3490025E-5,3.5382163E-5,3.5382163E-5,1.0,0.0,4.0766477E-4,4.306941E-4,4.306941E-4,1.0,0.0,0.0040691774,0.0042987415,0.0042987415,1.0,0.0
6.5,6.4986366E-6,6.8660847E-6,6.8660847E-6,1.0,0.0,2.7851002E-5,2.9425752E-5,2.9425752E-5,1.0,0.0,3.390332E-4,3.5820054E-4,3.5820054E-4,1.0,0.0,0.003385164,0.0035763285,0.0035763285,1.0,0.0
6.6,5.582177E-6,5.8990886E-6,5.8990886E-6,1.0,0.0,2.3923398E-5,2.5281568E-5,2.5281568E-5,1.0,0.0,2.9122844E-4,3.0776032E-4,3.0776032E-4,1.0,0.0,0.0029084706,0.0030734148,0.0030734148,1.0,0.0
6.7,4.6858763E-6,4.951386E-6,4.951386E-6,1.0,0.0,2.0082172E-5,2.1220058E-5,2.1220058E-5,1.0,0.0,2.4447302E-4,2.5832411E-4,2.5832411E-4,1.0,0.0,0.0024420423,0.002580295,0.002580295,1.0,0.0
6.8,3.5584908E-6,3.7603484E-6,3.7603484E-6,1.0,0.0,1.5250586E-5,1.6115682E-5,1.6115682E-5,1.0,0.0,1.8566006E-4,1.9619118E-4,1.9619118E-4,1.0,0.0,0.0018550502,0.001960221,0.001960221,1.0,0.0
6.9,2.532834E-6,2.6769505E-6,2.6769505E-6,1.0,0.0,1.0854958E-5,1.1472596E-5,1.1472596E-5,1.0,0.0,1.3215111E-4,1.3967018E-4,1.3967018E-4,1.0,0.0,0.0013207254,0.0013958517,0.0013958517,1.0,0.0
7.0,1.7083285E-6,1.8059741E-6,1.8059741E-6,1.0,0.0,7.3213873E-6,7.739866E-6,7.739866E-6,1.0,0.0,8.913424E-5,9.422897E-5,9.422897E-5,1.0,0.0,8.9098496E-4,9.4190676E-4,9.4190676E-4,1.0,0.0
7.1,1.0905424E-6,1.1523101E-6,1.1523101E-6,1.0,0.0,4.6737446E-6,4.938463E-6,4.938463E-6,1.0,0.0,5.6901354E-5,6.012423E-5,6.012423E-5,1.0,0.0,5.6886784E-4,6.0108944E-4,6.0108944E-4,1.0,0.0
7.2,6.06668E-7,6.4010504E-7,6.4010504E-7,1.0,0.0,2.600003E-6,2.743305E-6,2.743305E-6,1.0,0.0,3.1654577E-5,3.3399294E-5,3.3399294E-5,1.0,0.0,3.1650066E-4,3.3394963E-4,3.3394963E-4,1.0,0.0
