Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.0211835E-5,3.3804783E-5,3.3804783E-5,1.0,0.0,1.2947287E-4,1.4486976E-4,1.4486976E-4,1.0,0.0,0.0015751923,0.0017623915,0.0017723739,1.0056641,1.0E-5,0.015640736,0.017489593,0.017499419,1.0005617,1.0E-5
6.1,3.0211835E-5,3.3804783E-5,3.3804783E-5,1.0,0.0,1.2947287E-4,1.4486976E-4,1.4486976E-4,1.0,0.0,0.0015751923,0.0017623915,0.0017723739,1.0056641,1.0E-5,0.015640736,0.017489593,0.017499419,1.0005617,1.0E-5
6.2,3.0211835E-5,3.3804783E-5,3.3804783E-5,1.0,0.0,1.2947287E-4,1.4486976E-4,1.4486976E-4,1.0,0.0,0.0015751923,0.0017623915,0.0017723739,1.0056641,1.0E-5,0.015640736,0.017489593,0.017499419,1.0005617,1.0E-5
6.3,2.8573924E-5,3.1908814E-5,3.1908814E-5,1.0,0.0,1.2245393E-4,1.3674505E-4,1.3674505E-4,1.0,0.0,0.001489857,0.0016636269,0.0016636269,1.0,0.0,0.01479908,0.016517276,0.016517276,1.0,0.0
6.4,2.8573924E-5,3.1908814E-5,3.1908814E-5,1.0,0.0,1.2245393E-4,1.3674505E-4,1.3674505E-4,1.0,0.0,0.001489857,0.0016636269,0.0016636269,1.0,0.0,0.01479908,0.016517276,0.016517276,1.0,0.0
6.5,2.7468774E-5,3.062473E-5,3.062473E-5,1.0,0.0,1.1771801E-4,1.312424E-4,1.312424E-4,1.0,0.0,0.0014322745,0.001596732,0.001596732,1.0,0.0,0.014230782,0.015858036,0.015858036,1.0,0.0
6.6,2.6135967E-5,2.9040712E-5,2.9040712E-5,1.0,0.0,1.1200648E-4,1.2445441E-4,1.2445441E-4,1.0,0.0,0.0013628257,0.0015142052,0.0015142052,1.0,0.0,0.013544982,0.015044269,0.015044269,1.0,0.0
6.7,2.4498746E-5,2.7116124E-5,2.7116124E-5,1.0,0.0,1.04990395E-4,1.16206924E-4,1.16206924E-4,1.0,0.0,0.0012775084,0.0014139257,0.0014139257,1.0,0.0,0.012701893,0.014054475,0.014054475,1.0,0.0
6.8,2.2244329E-5,2.4697481E-5,2.4697481E-5,1.0,0.0,9.532935E-5,1.0584217E-4,1.0584217E-4,1.0,0.0,0.0011600169,0.0012878879,0.0012878879,1.0,0.0,0.011539802,0.012809015,0.012809015,1.0,0.0
6.9,1.9902658E-5,2.2146629E-5,2.2146629E-5,1.0,0.0,8.529431E-5,9.491077E-5,9.491077E-5,1.0,0.0,0.0010379635,0.0011549443,0.0011549443,1.0,0.0,0.010331288,0.011493826,0.011493826,1.0,0.0
7.0,1.8353881E-5,2.0446512E-5,2.0446512E-5,1.0,0.0,7.865712E-5,8.762506E-5,8.762506E-5,1.0,0.0,9.5722964E-4,0.0010663305,0.0010663305,1.0,0.0,0.009531168,0.010616417,0.010616417,1.0,0.0
7.1,1.7667631E-5,1.966884E-5,1.966884E-5,1.0,0.0,7.571623E-5,8.4292406E-5,8.4292406E-5,1.0,0.0,9.2145515E-4,0.0010257942,0.0010257942,1.0,0.0,0.009176437,0.010214817,0.010214817,1.0,0.0
7.2,1.6381597E-5,1.8072795E-5,1.8072795E-5,1.0,0.0,7.020495E-5,7.7452634E-5,7.7452634E-5,1.0,0.0,8.544101E-4,9.425949E-4,9.425949E-4,1.0,0.0,0.008511325,0.009389933,0.009389933,1.0,0.0
7.3,1.4520491E-5,1.5915473E-5,1.5915473E-5,1.0,0.0,6.222919E-5,6.8207475E-5,6.8207475E-5,1.0,0.0,7.57377E-4,8.301257E-4,8.301257E-4,1.0,0.0,0.0075480095,0.008272762,0.008272762,1.0,0.0
7.4,1.2852287E-5,1.4087601E-5,1.4087601E-5,1.0,0.0,5.5080065E-5,6.037412E-5,6.037412E-5,1.0,0.0,6.7039346E-4,7.348227E-4,7.348227E-4,1.0,0.0,0.0066837464,0.007326293,0.007326293,1.0,0.0
7.5,1.1637851E-5,1.2771287E-5,1.2771287E-5,1.0,0.0,4.987555E-5,5.473303E-5,5.473303E-5,1.0,0.0,6.070656E-4,6.661864E-4,6.661864E-4,1.0,0.0,0.006054099,0.0066442336,0.0066442336,1.0,0.0
7.6,3.0068115E-6,3.3124325E-6,3.3124325E-6,1.0,0.0,1.2886271E-5,1.4196102E-5,1.4196102E-5,1.0,0.0,1.5687906E-4,1.7283103E-4,1.7283103E-4,1.0,0.0,0.0015676835,0.0017282001,0.0017282001,1.0,0.0
