Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2101656E-5,8.148743E-6,1.8148661E-5,2.227173,1.0E-5,5.1863204E-5,3.492275E-5,4.49224E-5,1.2863363,1.0E-5,6.312516E-4,4.251072E-4,4.3510296E-4,1.0235134,1.0E-5,0.0062946146,0.0042435043,0.004253462,1.0023465,1.0E-5
6.1,1.2101656E-5,8.148743E-6,1.8148661E-5,2.227173,1.0E-5,5.1863204E-5,3.492275E-5,4.49224E-5,1.2863363,1.0E-5,6.312516E-4,4.251072E-4,4.3510296E-4,1.0235134,1.0E-5,0.0062946146,0.0042435043,0.004253462,1.0023465,1.0E-5
6.2,1.2101656E-5,8.148743E-6,1.8148661E-5,2.227173,1.0E-5,5.1863204E-5,3.492275E-5,4.49224E-5,1.2863363,1.0E-5,6.312516E-4,4.251072E-4,4.3510296E-4,1.0235134,1.0E-5,0.0062946146,0.0042435043,0.004253462,1.0023465,1.0E-5
6.3,1.2101656E-5,8.148743E-6,1.8148661E-5,2.227173,1.0E-5,5.1863204E-5,3.492275E-5,4.49224E-5,1.2863363,1.0E-5,6.312516E-4,4.251072E-4,4.3510296E-4,1.0235134,1.0E-5,0.0062946146,0.0042435043,0.004253462,1.0023465,1.0E-5
6.4,1.2101656E-5,8.148743E-6,1.8148661E-5,2.227173,1.0E-5,5.1863204E-5,3.492275E-5,4.49224E-5,1.2863363,1.0E-5,6.312516E-4,4.251072E-4,4.3510296E-4,1.0235134,1.0E-5,0.0062946146,0.0042435043,0.004253462,1.0023465,1.0E-5
6.5,1.2101656E-5,8.148743E-6,1.8148661E-5,2.227173,1.0E-5,5.1863204E-5,3.492275E-5,4.49224E-5,1.2863363,1.0E-5,6.312516E-4,4.251072E-4,4.3510296E-4,1.0235134,1.0E-5,0.0062946146,0.0042435043,0.004253462,1.0023465,1.0E-5
6.6,1.0222488E-5,6.4447167E-6,1.6444652E-5,2.5516486,1.0E-5,4.3809923E-5,2.7619935E-5,3.761966E-5,1.3620473,1.0E-5,5.332553E-4,3.362233E-4,3.4621995E-4,1.0297321,1.0E-5,0.0053197746,0.0033573937,0.00336736,1.0029685,1.0E-5
6.7,1.0222488E-5,6.4447167E-6,1.6444652E-5,2.5516486,1.0E-5,4.3809923E-5,2.7619935E-5,3.761966E-5,1.3620473,1.0E-5,5.332553E-4,3.362233E-4,3.4621995E-4,1.0297321,1.0E-5,0.0053197746,0.0033573937,0.00336736,1.0029685,1.0E-5
6.8,8.6367845E-6,5.068658E-6,1.5068607E-5,2.972899,1.0E-5,3.7014266E-5,2.1722642E-5,3.1722426E-5,1.4603392,1.0E-5,4.505555E-4,2.6444162E-4,2.74439E-4,1.0378056,1.0E-5,0.004496431,0.0026413265,0.0026513003,1.003776,1.0E-5
6.9,8.066481E-6,4.875499E-6,1.487545E-5,3.051062,1.0E-5,3.4570177E-5,2.0894831E-5,3.0894622E-5,1.4785773,1.0E-5,4.2081063E-4,2.543654E-4,2.6436287E-4,1.0393035,1.0E-5,0.0042001465,0.0025407972,0.002550772,1.0039258,1.0E-5
7.0,7.393828E-6,4.4548497E-6,1.4454805E-5,3.2447345,1.0E-5,3.168745E-5,1.9092076E-5,2.9091885E-5,1.5237675,1.0E-5,3.857264E-4,2.3242169E-4,2.4241937E-4,1.0430152,1.0E-5,0.0038505755,0.0023218323,0.002331809,1.0042969,1.0E-5
7.1,6.4660953E-6,3.836555E-6,1.3836517E-5,3.606495,1.0E-5,2.7711543E-5,1.6442278E-5,2.6442112E-5,1.6081783,1.0E-5,3.373358E-4,2.001667E-4,2.101647E-4,1.0499483,1.0E-5,0.0033682417,0.0019999004,0.0020098805,1.0049902,1.0E-5
7.2,5.143232E-6,2.8092436E-6,1.2809215E-5,4.559667,1.0E-5,2.2042237E-5,1.2039561E-5,2.203944E-5,1.8305851,1.0E-5,2.6833118E-4,1.4657188E-4,1.5657042E-4,1.068216,1.0E-5,0.002680074,0.001464762,0.0014747474,1.0068171,1.0E-5
7.3,3.928255E-6,2.1105302E-6,1.2110509E-5,5.7381363,1.0E-5,1.683527E-5,9.0450985E-6,1.9045008E-5,2.1055613,1.0E-5,2.0495013E-4,1.1011857E-4,1.2011747E-4,1.0908012,1.0E-5,0.002047612,0.0011006468,0.0011106358,1.0090755,1.0E-5
7.4,2.7894434E-6,1.3705526E-6,1.1370539E-5,8.296317,1.0E-5,1.1954703E-5,5.873784E-6,1.5873726E-5,2.70247,1.0E-5,1.4553878E-4,7.151102E-5,8.1510305E-5,1.1398286,1.0E-5,0.001454435,7.1488455E-4,7.248774E-4,1.0139782,1.0E-5
7.5,2.041735E-6,8.9096216E-7,1.08909535E-5,12.223811,1.0E-5,8.750263E-6,3.818404E-6,1.3818366E-5,3.6188853,1.0E-5,1.06529245E-4,4.648811E-5,5.6487646E-5,1.2150987,1.0E-5,0.0010647819,4.647873E-4,4.7478263E-4,1.0215052,1.0E-5
7.6,1.6959062E-6,6.794532E-7,1.0679447E-5,15.717707,1.0E-5,7.268149E-6,2.9119392E-6,1.291191E-5,4.4341273,1.0E-5,8.848612E-5,3.5452314E-5,4.5451958E-5,1.2820591,1.0E-5,8.84509E-4,3.5446952E-4,3.64466E-4,1.0282012,1.0E-5
7.7,1.4767965E-6,5.4826944E-7,1.0548264E-5,19.239197,1.0E-5,6.3291122E-6,2.3497241E-6,1.23497E-5,5.255809,1.0E-5,7.705422E-5,2.8607543E-5,3.8607257E-5,1.3495481,1.0E-5,7.702751E-4,2.8604124E-4,2.9603837E-4,1.03495,1.0E-5
7.8,1.8432911E-7,7.348368E-8,1.0073483E-5,137.08463,1.0E-5,7.8998164E-7,3.1493005E-7,1.0314927E-5,32.753075,1.0E-5,9.617985E-6,3.83427E-6,1.3834232E-5,3.6080484,1.0E-5,9.617568E-5,3.834237E-5,4.8341986E-5,1.2607981,1.0E-5
