Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2188602E-4,2.6989586E-4,2.6989586E-4,1.0,0.0,5.2226405E-4,0.0011561855,0.0011561855,1.0,0.0,0.0063400427,0.013986294,0.013996154,1.000705,1.0E-5,0.061621845,0.13176234,0.13177101,1.0000659,1.0E-5
6.1,1.2188602E-4,2.6989586E-4,2.6989586E-4,1.0,0.0,5.2226405E-4,0.0011561855,0.0011561855,1.0,0.0,0.0063400427,0.013986294,0.013996154,1.000705,1.0E-5,0.061621845,0.13176234,0.13177101,1.0000659,1.0E-5
6.2,1.2188602E-4,2.6989586E-4,2.6989586E-4,1.0,0.0,5.2226405E-4,0.0011561855,0.0011561855,1.0,0.0,0.0063400427,0.013986294,0.013996154,1.000705,1.0E-5,0.061621845,0.13176234,0.13177101,1.0000659,1.0E-5
6.3,1.2142645E-4,2.6901838E-4,2.6901838E-4,1.0,0.0,5.202953E-4,0.0011524282,0.0011524282,1.0,0.0,0.006316212,0.013941135,0.013950996,1.0007073,1.0E-5,0.06139677,0.13137735,0.13138604,1.0000662,1.0E-5
6.4,1.1865206E-4,2.6394756E-4,2.6394756E-4,1.0,0.0,5.0840975E-4,0.0011307151,0.0011307151,1.0,0.0,0.006172335,0.013680125,0.013689988,1.000721,1.0E-5,0.060036868,0.12914203,0.12915073,1.0000675,1.0E-5
6.5,1.17443946E-4,2.618279E-4,2.618279E-4,1.0,0.0,5.032341E-4,0.0011216388,0.0011216388,1.0,0.0,0.006109677,0.013570999,0.013580862,1.0007268,1.0E-5,0.059444077,0.12820101,0.12820973,1.000068,1.0E-5
6.6,1.13579066E-4,2.5493678E-4,2.5493678E-4,1.0,0.0,4.866766E-4,0.0010921303,0.0010921303,1.0,0.0,0.0059092017,0.013216144,0.013226013,1.0007466,1.0E-5,0.057545185,0.12514178,0.12515053,1.0000699,1.0E-5
6.7,1.1271412E-4,2.5336916E-4,2.5336916E-4,1.0,0.0,4.829711E-4,0.0010854177,0.0010854177,1.0,0.0,0.005864331,0.013135406,0.0131452745,1.0007513,1.0E-5,0.057119697,0.12444669,0.12445545,1.0000703,1.0E-5
6.8,1.1217975E-4,2.5223248E-4,2.5223248E-4,1.0,0.0,4.8068175E-4,0.0010805503,0.0010805503,1.0,0.0,0.005836608,0.013076858,0.013086727,1.0007547,1.0E-5,0.056856725,0.12394087,0.12394963,1.0000707,1.0E-5
6.9,1.1146753E-4,2.506841E-4,2.506841E-4,1.0,0.0,4.7763053E-4,0.0010739197,0.0010739197,1.0,0.0,0.0057996577,0.012997098,0.013006968,1.0007594,1.0E-5,0.056506127,0.123252384,0.123261146,1.0000712,1.0E-5
