Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.1925945E-4,3.3846626E-4,3.3846626E-4,1.0,0.0,5.110118E-4,0.0014497682,0.0014597537,1.0068877,1.0E-5,0.0062038354,0.017509505,0.017529154,1.0011222,2.0E-5,0.060334753,0.15702793,0.15705322,1.000161,3.0E-5
6.1,1.1925945E-4,3.3846626E-4,3.3846626E-4,1.0,0.0,5.110118E-4,0.0014497682,0.0014597537,1.0068877,1.0E-5,0.0062038354,0.017509505,0.017529154,1.0011222,2.0E-5,0.060334753,0.15702793,0.15705322,1.000161,3.0E-5
6.2,1.07432395E-4,3.1337843E-4,3.1337843E-4,1.0,0.0,4.603433E-4,0.0013423633,0.0013523499,1.0074395,1.0E-5,0.005590286,0.016221983,0.01624166,1.0012128,2.0E-5,0.05451731,0.14622878,0.14624585,1.0001168,2.0E-5
6.3,1.0718766E-4,3.128318E-4,3.128318E-4,1.0,0.0,4.592948E-4,0.001340023,0.0013500096,1.0074526,1.0E-5,0.005577586,0.016193915,0.016213592,1.001215,2.0E-5,0.054396555,0.14599806,0.14601514,1.000117,2.0E-5
6.4,1.0355944E-4,3.0489403E-4,3.0489403E-4,1.0,0.0,4.4375064E-4,0.0013060385,0.0013160254,1.0076468,1.0E-5,0.0053892885,0.01578622,0.015805904,1.0012469,2.0E-5,0.052604496,0.14256826,0.14258541,1.0001203,2.0E-5
6.5,1.0227914E-4,3.0208266E-4,3.0208266E-4,1.0,0.0,4.382655E-4,0.0012940018,0.0013039889,1.007718,1.0E-5,0.0053228354,0.015641788,0.015661474,1.0012586,2.0E-5,0.051971316,0.14134881,0.14136598,1.0001215,2.0E-5
6.6,1.0116757E-4,2.99731E-4,2.99731E-4,1.0,0.0,4.3350324E-4,0.0012839333,0.0012939204,1.0077785,1.0E-5,0.0052651367,0.015520955,0.015540645,1.0012686,2.0E-5,0.051421247,0.14032802,0.14034522,1.0001225,2.0E-5
6.7,1.0050676E-4,2.9831266E-4,2.9831266E-4,1.0,0.0,4.3067214E-4,0.0012778606,0.0012878479,1.0078156,1.0E-5,0.005230834,0.015448072,0.015467763,1.0012747,2.0E-5,0.051094085,0.13971427,0.13973147,1.0001231,2.0E-5
6.8,9.976819E-5,2.9633477E-4,2.9633477E-4,1.0,0.0,4.2750788E-4,0.0012693921,0.0012793795,1.0078678,1.0E-5,0.0051924936,0.015346426,0.015366118,1.0012833,2.0E-5,0.050728295,0.13886397,0.13888119,1.000124,2.0E-5
6.9,9.77719E-5,2.912619E-4,2.912619E-4,1.0,0.0,4.1895514E-4,0.0012476724,0.0012576599,1.0080049,1.0E-5,0.0050888555,0.0150856795,0.015105378,1.0013058,2.0E-5,0.049738888,0.1366863,0.13670357,1.0001264,2.0E-5
7.0,8.500761E-5,2.583307E-4,2.583307E-4,1.0,0.0,3.6426744E-4,0.0011066651,0.0011166541,1.0090262,1.0E-5,0.0044259406,0.013391249,0.013401114,1.0007367,1.0E-5,0.04338823,0.12251013,0.1225189,1.0000716,1.0E-5
7.1,8.319876E-5,2.542959E-4,2.542959E-4,1.0,0.0,3.5651738E-4,0.0010893878,0.0010993769,1.0091695,1.0E-5,0.004331963,0.013183462,0.013193331,1.0007485,1.0E-5,0.042484846,0.12071391,0.1207227,1.0000728,1.0E-5
7.2,7.563917E-5,2.3460457E-4,2.3460457E-4,1.0,0.0,3.2412758E-4,0.001005064,0.001015054,1.0099397,1.0E-5,0.0039391145,0.012168744,0.012178622,1.0008118,1.0E-5,0.03870018,0.11208927,0.11209815,1.0000793,1.0E-5
7.3,7.082985E-5,2.1745558E-4,2.1745558E-4,1.0,0.0,3.0352117E-4,9.3162275E-4,9.416134E-4,1.010724,1.0E-5,0.0036891096,0.011284194,0.011294081,1.0008762,1.0E-5,0.03628465,0.10452271,0.10453167,1.0000857,1.0E-5
7.4,5.146215E-5,1.5120325E-4,1.5120325E-4,1.0,0.0,2.2053342E-4,6.478539E-4,6.478539E-4,1.0,0.0,0.0026816884,0.007859304,0.007859304,1.0,0.0,0.02649557,0.07452673,0.07452673,1.0,0.0
7.5,4.0285166E-5,1.1675843E-4,1.1675843E-4,1.0,0.0,1.7263928E-4,5.0029764E-4,5.0029764E-4,1.0,0.0,0.002099857,0.00607419,0.00607419,1.0,0.0,0.020801254,0.058263,0.058263,1.0,0.0
7.6,3.1168736E-5,9.078859E-5,9.078859E-5,1.0,0.0,1.3357346E-4,3.8903608E-4,3.8903608E-4,1.0,0.0,0.0016250437,0.004726258,0.004726258,1.0,0.0,0.016132116,0.045677274,0.045677274,1.0,0.0
7.7,2.2100989E-5,6.790209E-5,6.790209E-5,1.0,0.0,9.4715084E-5,2.9097652E-4,2.9097652E-4,1.0,0.0,0.001152546,0.0035368921,0.0035368921,1.0,0.0,0.011465867,0.034384675,0.034384675,1.0,0.0
7.8,1.7484861E-5,5.6644316E-5,5.6644316E-5,1.0,0.0,7.493296E-5,2.4273878E-4,2.4273878E-4,1.0,0.0,9.1192697E-4,0.002951343,0.002951343,1.0,0.0,0.009081938,0.028830025,0.028830025,1.0,0.0
7.9,1.3967285E-5,4.206386E-5,4.206386E-5,1.0,0.0,5.985842E-5,1.8026124E-4,1.8026124E-4,1.0,0.0,7.2853256E-4,0.002192473,0.002192473,1.0,0.0,0.0072614877,0.021672254,0.021672254,1.0,0.0
8.0,1.1887396E-5,3.4314675E-5,3.4314675E-5,1.0,0.0,5.094499E-5,1.4705461E-4,1.4705461E-4,1.0,0.0,6.200787E-4,0.0017889208,0.0017889208,1.0,0.0,0.006183513,0.017782133,0.017782133,1.0,0.0
8.1,5.100864E-6,1.02627055E-5,1.02627055E-5,1.0,0.0,2.1860664E-5,4.3982283E-5,4.3982283E-5,1.0,0.0,2.6612106E-4,5.353529E-4,5.353529E-4,1.0,0.0,0.002658026,0.0055537117,0.0055537117,1.0,0.0
8.2,2.3004484E-6,3.3271394E-6,3.3271394E-6,1.0,0.0,9.859027E-6,1.4259092E-5,1.4259092E-5,1.0,0.0,1.2002704E-4,1.7359066E-4,1.7359066E-4,1.0,0.0,0.0011996223,0.00187271,0.00187271,1.0,0.0
8.3,1.0424446E-7,7.353542E-8,7.353542E-8,1.0,0.0,4.4676187E-7,3.1515177E-7,3.1515177E-7,1.0,0.0,5.439312E-6,3.8369662E-6,3.8369662E-6,1.0,0.0,5.4391792E-5,4.0049774E-5,4.0049774E-5,1.0,0.0
