Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.3079164E-5,2.4849123E-5,2.4849123E-5,1.0,0.0,5.6052355E-5,1.0649191E-4,1.0649191E-4,1.0,0.0,6.822237E-4,0.0012957714,0.0012957714,1.0,0.0,0.006801331,0.012918473,0.012928344,1.0007641,1.0E-5
6.1,1.3079164E-5,2.4849123E-5,2.4849123E-5,1.0,0.0,5.6052355E-5,1.0649191E-4,1.0649191E-4,1.0,0.0,6.822237E-4,0.0012957714,0.0012957714,1.0,0.0,0.006801331,0.012918473,0.012928344,1.0007641,1.0E-5
6.2,1.3079164E-5,2.4849123E-5,2.4849123E-5,1.0,0.0,5.6052355E-5,1.0649191E-4,1.0649191E-4,1.0,0.0,6.822237E-4,0.0012957714,0.0012957714,1.0,0.0,0.006801331,0.012918473,0.012928344,1.0007641,1.0E-5
6.3,1.3079164E-5,2.4849123E-5,2.4849123E-5,1.0,0.0,5.6052355E-5,1.0649191E-4,1.0649191E-4,1.0,0.0,6.822237E-4,0.0012957714,0.0012957714,1.0,0.0,0.006801331,0.012918473,0.012928344,1.0007641,1.0E-5
6.4,1.3079164E-5,2.4849123E-5,2.4849123E-5,1.0,0.0,5.6052355E-5,1.0649191E-4,1.0649191E-4,1.0,0.0,6.822237E-4,0.0012957714,0.0012957714,1.0,0.0,0.006801331,0.012918473,0.012928344,1.0007641,1.0E-5
6.5,1.3079164E-5,2.4849123E-5,2.4849123E-5,1.0,0.0,5.6052355E-5,1.0649191E-4,1.0649191E-4,1.0,0.0,6.822237E-4,0.0012957714,0.0012957714,1.0,0.0,0.006801331,0.012918473,0.012928344,1.0007641,1.0E-5
6.6,1.3074523E-5,2.4844187E-5,2.4844187E-5,1.0,0.0,5.6032466E-5,1.0647076E-4,1.0647076E-4,1.0,0.0,6.8198174E-4,0.0012955143,0.0012955143,1.0,0.0,0.006798926,0.012915932,0.012925802,1.0007643,1.0E-5
6.7,1.3050216E-5,2.481943E-5,2.481943E-5,1.0,0.0,5.59283E-5,1.0636467E-4,1.0636467E-4,1.0,0.0,6.8071426E-4,0.0012942242,0.0012942242,1.0,0.0,0.0067863287,0.01290318,0.012913051,1.000765,1.0E-5
6.8,1.29049395E-5,2.46678E-5,2.46678E-5,1.0,0.0,5.530571E-5,1.0571487E-4,1.0571487E-4,1.0,0.0,6.73139E-4,0.0012863221,0.0012863221,1.0,0.0,0.0067110364,0.012825075,0.012834946,1.0007697,1.0E-5
6.9,1.2867369E-5,2.4627054E-5,2.4627054E-5,1.0,0.0,5.51447E-5,1.0554027E-4,1.0554027E-4,1.0,0.0,6.711799E-4,0.0012841988,0.0012841988,1.0,0.0,0.006691564,0.012804086,0.012813958,1.000771,1.0E-5
7.0,1.2495996E-5,2.4013047E-5,2.4013047E-5,1.0,0.0,5.3553173E-5,1.0290901E-4,1.0290901E-4,1.0,0.0,6.518148E-4,0.0012522002,0.0012522002,1.0,0.0,0.0064990623,0.012487709,0.012497583,1.0007908,1.0E-5
