Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.681379E-5,8.075263E-5,9.075182E-5,1.123825,1.0E-5,2.8631336E-4,3.4603986E-4,3.5603638E-4,1.0288885,1.0E-5,0.003480294,0.004205419,0.004215377,1.0023679,1.0E-5,0.03426291,0.04131524,0.041334413,1.0004641,2.0E-5
6.1,6.681379E-5,8.075263E-5,9.075182E-5,1.123825,1.0E-5,2.8631336E-4,3.4603986E-4,3.5603638E-4,1.0288885,1.0E-5,0.003480294,0.004205419,0.004215377,1.0023679,1.0E-5,0.03426291,0.04131524,0.041334413,1.0004641,2.0E-5
6.2,3.9400576E-5,4.630346E-5,5.6302993E-5,1.2159566,1.0E-5,1.6884868E-4,1.9842859E-4,2.084266E-4,1.050386,1.0E-5,0.0020537945,0.0024132484,0.0024232243,1.0041338,1.0E-5,0.020349167,0.023877436,0.02389696,1.0008177,2.0E-5
6.3,3.2590255E-5,3.7899154E-5,4.7898775E-5,1.2638482,1.0E-5,1.3966505E-4,1.6241502E-4,1.7241339E-4,1.0615606,1.0E-5,0.0016990956,0.0019756407,0.0019856207,1.0050516,1.0E-5,0.01686163,0.019584637,0.019604245,1.0010012,2.0E-5
6.4,2.9454652E-5,3.4098277E-5,4.4097935E-5,1.29326,1.0E-5,1.2622811E-4,1.4612744E-4,1.5612597E-4,1.0684234,1.0E-5,0.0015357438,0.0017776762,0.0017876583,1.0056154,1.0E-5,0.015251739,0.01763776,0.017657407,1.0011139,2.0E-5
6.5,2.790836E-5,3.22552E-5,4.2254876E-5,1.3100176,1.0E-5,1.1960178E-4,1.3822938E-4,1.48228E-4,1.0723336,1.0E-5,0.001455179,0.0016816693,0.0016916525,1.0059365,1.0E-5,0.014456868,0.016692469,0.016712135,1.0011781,2.0E-5
6.6,2.2492153E-5,2.5789712E-5,2.5789712E-5,1.0,0.0,9.639138E-5,1.10522735E-4,1.10522735E-4,1.0,0.0,0.0011729331,0.0013447985,0.0013447985,1.0,0.0,0.011667615,0.013368326,0.013378193,1.000738,1.0E-5
6.7,1.9862755E-5,2.269691E-5,2.269691E-5,1.0,0.0,8.512331E-5,9.726891E-5,9.726891E-5,1.0,0.0,0.0010358836,0.0011836168,0.0011836168,1.0,0.0,0.010310682,0.011774424,0.011784307,1.0008394,1.0E-5
6.8,1.6697575E-5,1.900844E-5,1.900844E-5,1.0,0.0,7.155907E-5,8.146225E-5,8.146225E-5,1.0,0.0,8.7088346E-4,9.91361E-4,9.91361E-4,1.0,0.0,0.008674784,0.0098704165,0.009880317,1.0010031,1.0E-5
6.9,1.5218415E-5,1.729891E-5,1.729891E-5,1.0,0.0,6.522015E-5,7.413612E-5,7.413612E-5,1.0,0.0,7.93766E-4,9.022424E-4,9.022424E-4,1.0,0.0,0.007909367,0.008986742,0.008996652,1.0011028,1.0E-5
7.0,1.2392958E-5,1.4058584E-5,1.4058584E-5,1.0,0.0,5.3111595E-5,6.0249728E-5,6.0249728E-5,1.0,0.0,6.4644177E-4,7.3330116E-4,7.3330116E-4,1.0,0.0,0.0064456454,0.0073096035,0.0073195305,1.001358,1.0E-5
7.1,1.0934128E-5,1.2398103E-5,1.2398103E-5,1.0,0.0,4.6859706E-5,5.3133685E-5,5.3133685E-5,1.0,0.0,5.7036756E-4,6.467179E-4,6.467179E-4,1.0,0.0,0.0056890585,0.006449108,0.0064590434,1.0015407,1.0E-5
7.2,9.5798805E-6,1.0865161E-5,1.0865161E-5,1.0,0.0,4.1055984E-5,4.6564186E-5,4.6564186E-5,1.0,0.0,4.9974193E-4,5.667787E-4,5.667787E-4,1.0,0.0,0.0049861963,0.0056540584,0.0056640017,1.0017587,1.0E-5
7.3,8.0167365E-6,9.100675E-6,9.100675E-6,1.0,0.0,3.4356988E-5,3.900235E-5,3.900235E-5,1.0,0.0,4.1821605E-4,4.7475722E-4,4.7475722E-4,1.0,0.0,0.0041742986,0.004738135,0.004748088,1.0021006,1.0E-5
7.4,2.9581017E-6,3.3676843E-6,3.3676843E-6,1.0,0.0,1.2677518E-5,1.44328815E-5,1.44328815E-5,1.0,0.0,1.5433785E-4,1.7571123E-4,1.7571123E-4,1.0,0.0,0.001542307,0.0017562195,0.0017562195,1.0,0.0
