Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.28807E-5,4.8434817E-5,4.8434817E-5,1.0,0.0,2.6946087E-4,2.0756136E-4,2.0756136E-4,1.0,0.0,0.0032757511,0.002524145,0.002524145,1.0,0.0,0.032278832,0.02590953,0.025919272,1.000376,1.0E-5
6.1,6.28807E-5,4.8434817E-5,4.8434817E-5,1.0,0.0,2.6946087E-4,2.0756136E-4,2.0756136E-4,1.0,0.0,0.0032757511,0.002524145,0.002524145,1.0,0.0,0.032278832,0.02590953,0.025919272,1.000376,1.0E-5
6.2,6.28807E-5,4.8434817E-5,4.8434817E-5,1.0,0.0,2.6946087E-4,2.0756136E-4,2.0756136E-4,1.0,0.0,0.0032757511,0.002524145,0.002524145,1.0,0.0,0.032278832,0.02590953,0.025919272,1.000376,1.0E-5
6.3,6.28807E-5,4.8434817E-5,4.8434817E-5,1.0,0.0,2.6946087E-4,2.0756136E-4,2.0756136E-4,1.0,0.0,0.0032757511,0.002524145,0.002524145,1.0,0.0,0.032278832,0.02590953,0.025919272,1.000376,1.0E-5
6.4,6.28807E-5,4.8434817E-5,4.8434817E-5,1.0,0.0,2.6946087E-4,2.0756136E-4,2.0756136E-4,1.0,0.0,0.0032757511,0.002524145,0.002524145,1.0,0.0,0.032278832,0.02590953,0.025919272,1.000376,1.0E-5
6.5,5.811017E-5,4.509983E-5,4.509983E-5,1.0,0.0,2.4901982E-4,1.9327071E-4,1.9327071E-4,1.0,0.0,0.0030276014,0.0023505385,0.0023505385,1.0,0.0,0.02986684,0.024165995,0.024165995,1.0,0.0
6.6,5.811017E-5,4.509983E-5,4.509983E-5,1.0,0.0,2.4901982E-4,1.9327071E-4,1.9327071E-4,1.0,0.0,0.0030276014,0.0023505385,0.0023505385,1.0,0.0,0.02986684,0.024165995,0.024165995,1.0,0.0
6.7,5.712442E-5,4.4471464E-5,4.4471464E-5,1.0,0.0,2.4479596E-4,1.905781E-4,1.905781E-4,1.0,0.0,0.0029763177,0.002317826,0.002317826,1.0,0.0,0.029367693,0.023832694,0.023832694,1.0,0.0
6.8,5.6967532E-5,4.43179E-5,4.43179E-5,1.0,0.0,2.4412372E-4,1.8992007E-4,1.8992007E-4,1.0,0.0,0.0029681553,0.0023098316,0.0023098316,1.0,0.0,0.029288229,0.023752077,0.023752077,1.0,0.0
6.9,5.6211324E-5,4.3989286E-5,4.3989286E-5,1.0,0.0,2.4088343E-4,1.8851193E-4,1.8851193E-4,1.0,0.0,0.0029288116,0.0022927236,0.0022927236,1.0,0.0,0.028905109,0.023574658,0.023574658,1.0,0.0
