Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.399087E-5,4.043335E-5,4.043335E-5,1.0,0.0,1.4566703E-4,1.732743E-4,1.732743E-4,1.0,0.0,0.0017720532,0.0021075753,0.0021175542,1.0047348,1.0E-5,0.01757989,0.021613428,0.021623213,1.0004526,1.0E-5
6.1,3.399087E-5,4.043335E-5,4.043335E-5,1.0,0.0,1.4566703E-4,1.732743E-4,1.732743E-4,1.0,0.0,0.0017720532,0.0021075753,0.0021175542,1.0047348,1.0E-5,0.01757989,0.021613428,0.021623213,1.0004526,1.0E-5
6.2,3.399087E-5,4.043335E-5,4.043335E-5,1.0,0.0,1.4566703E-4,1.732743E-4,1.732743E-4,1.0,0.0,0.0017720532,0.0021075753,0.0021175542,1.0047348,1.0E-5,0.01757989,0.021613428,0.021623213,1.0004526,1.0E-5
6.3,3.399087E-5,4.043335E-5,4.043335E-5,1.0,0.0,1.4566703E-4,1.732743E-4,1.732743E-4,1.0,0.0,0.0017720532,0.0021075753,0.0021175542,1.0047348,1.0E-5,0.01757989,0.021613428,0.021623213,1.0004526,1.0E-5
6.4,3.399087E-5,4.043335E-5,4.043335E-5,1.0,0.0,1.4566703E-4,1.732743E-4,1.732743E-4,1.0,0.0,0.0017720532,0.0021075753,0.0021175542,1.0047348,1.0E-5,0.01757989,0.021613428,0.021623213,1.0004526,1.0E-5
6.5,3.341482E-5,3.9709634E-5,3.9709634E-5,1.0,0.0,1.4319851E-4,1.7017307E-4,1.7017307E-4,1.0,0.0,0.0017420477,0.00206989,0.0020798692,1.0048212,1.0E-5,0.017284546,0.021243865,0.021253653,1.0004607,1.0E-5
6.6,3.3364955E-5,3.964622E-5,3.964622E-5,1.0,0.0,1.4298483E-4,1.6990132E-4,1.6990132E-4,1.0,0.0,0.0017394501,0.0020665878,0.0020765672,1.0048289,1.0E-5,0.017258976,0.021211484,0.021221273,1.0004615,1.0E-5
6.7,3.335922E-5,3.963582E-5,3.963582E-5,1.0,0.0,1.4296026E-4,1.6985674E-4,1.6985674E-4,1.0,0.0,0.0017391514,0.0020660462,0.0020760256,1.0048301,1.0E-5,0.017256035,0.021206202,0.02121599,1.0004616,1.0E-5
6.8,3.327683E-5,3.9528626E-5,3.9528626E-5,1.0,0.0,1.4260718E-4,1.693974E-4,1.693974E-4,1.0,0.0,0.0017348597,0.0020604644,0.0020704437,1.0048432,1.0E-5,0.017213784,0.02115146,0.021161249,1.0004628,1.0E-5
6.9,3.3235785E-5,3.9468705E-5,3.9468705E-5,1.0,0.0,1.4243131E-4,1.6914064E-4,1.6914064E-4,1.0,0.0,0.0017327217,0.0020573442,0.0020673235,1.0048506,1.0E-5,0.017192734,0.021120965,0.021130756,1.0004635,1.0E-5
7.0,3.3197095E-5,3.940757E-5,3.940757E-5,1.0,0.0,1.422655E-4,1.6887866E-4,1.6887866E-4,1.0,0.0,0.0017307063,0.0020541605,0.00206414,1.0048581,1.0E-5,0.017172894,0.021089891,0.02109968,1.0004642,1.0E-5
7.1,3.3129716E-5,3.9285118E-5,3.9285118E-5,1.0,0.0,1.4197677E-4,1.6835393E-4,1.6835393E-4,1.0,0.0,0.0017271966,0.002047784,0.0020577635,1.0048733,1.0E-5,0.017138338,0.021027807,0.021037597,1.0004655,1.0E-5
7.2,3.3034008E-5,3.9150793E-5,3.9150793E-5,1.0,0.0,1.4156665E-4,1.6777834E-4,1.6777834E-4,1.0,0.0,0.0017222111,0.0020407892,0.0020507688,1.0048901,1.0E-5,0.017089253,0.020959483,0.020969274,1.0004671,1.0E-5
7.3,3.2956614E-5,3.901476E-5,3.901476E-5,1.0,0.0,1.4123498E-4,1.6719541E-4,1.6719541E-4,1.0,0.0,0.0017181796,0.0020337054,0.0020436852,1.0049071,1.0E-5,0.017049557,0.020890534,0.020900324,1.0004687,1.0E-5
7.4,3.2915937E-5,3.8933624E-5,3.8933624E-5,1.0,0.0,1.4106068E-4,1.6684772E-4,1.6684772E-4,1.0,0.0,0.0017160608,0.0020294802,0.00203946,1.0049174,1.0E-5,0.017028693,0.020849535,0.020859325,1.0004697,1.0E-5
7.5,3.281791E-5,3.879407E-5,3.879407E-5,1.0,0.0,1.406406E-4,1.6624971E-4,1.6624971E-4,1.0,0.0,0.0017109542,0.002022213,0.002032193,1.004935,1.0E-5,0.016978411,0.020778378,0.020788172,1.0004712,1.0E-5
7.6,3.2521442E-5,3.8508144E-5,3.8508144E-5,1.0,0.0,1.3937015E-4,1.6502448E-4,1.6502448E-4,1.0,0.0,0.0016955109,0.0020073233,0.0020173034,1.0049717,1.0E-5,0.016826328,0.020630818,0.020640612,1.0004747,1.0E-5
7.7,3.0287873E-5,3.6924823E-5,3.6924823E-5,1.0,0.0,1.297987E-4,1.5823965E-4,1.5823965E-4,1.0,0.0,0.0015791537,0.0019248668,0.0019348476,1.0051851,1.0E-5,0.01567979,0.01980889,0.019818692,1.0004948,1.0E-5
