Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.921579E-5,8.89135E-5,8.89135E-5,1.0,0.0,2.5375726E-4,3.8100922E-4,3.8100922E-4,1.0,0.0,0.0030851178,0.0046304604,0.0046304604,1.0,0.0,0.030426376,0.045413267,0.04542281,1.0002102,1.0E-5
6.1,5.921579E-5,8.89135E-5,8.89135E-5,1.0,0.0,2.5375726E-4,3.8100922E-4,3.8100922E-4,1.0,0.0,0.0030851178,0.0046304604,0.0046304604,1.0,0.0,0.030426376,0.045413267,0.04542281,1.0002102,1.0E-5
6.2,5.6963574E-5,8.5401174E-5,8.5401174E-5,1.0,0.0,2.4410675E-4,3.65963E-4,3.65963E-4,1.0,0.0,0.0029679495,0.004448119,0.004448119,1.0,0.0,0.029286223,0.043671973,0.043681536,1.000219,1.0E-5
6.3,5.6940098E-5,8.5355445E-5,8.5355445E-5,1.0,0.0,2.4400617E-4,3.6576707E-4,3.6576707E-4,1.0,0.0,0.002966728,0.0044457433,0.0044457433,1.0,0.0,0.029274331,0.043649305,0.043658867,1.0002191,1.0E-5
6.4,5.4171585E-5,7.987182E-5,7.987182E-5,1.0,0.0,2.3214328E-4,3.4227208E-4,3.4227208E-4,1.0,0.0,0.0028226813,0.0041608294,0.0041608294,1.0,0.0,0.02787096,0.040949315,0.040958907,1.0002342,1.0E-5
6.5,4.375144E-5,5.8924303E-5,5.8924303E-5,1.0,0.0,1.874927E-4,2.5251484E-4,2.5251484E-4,1.0,0.0,0.0022803338,0.0030711966,0.0030711966,1.0,0.0,0.022570757,0.030519143,0.030528838,1.0003177,1.0E-5
6.6,2.772192E-5,2.8174312E-5,2.8174312E-5,1.0,0.0,1.1880282E-4,1.20741584E-4,1.20741584E-4,1.0,0.0,0.0014454646,0.0014690596,0.0014690596,1.0,0.0,0.014360986,0.014919545,0.014919545,1.0,0.0
6.7,2.7124124E-5,2.7366077E-5,2.7366077E-5,1.0,0.0,1.1624106E-4,1.1727804E-4,1.1727804E-4,1.0,0.0,0.0014143161,0.0014269467,0.0014269467,1.0,0.0,0.014053487,0.014504156,0.014504156,1.0,0.0
6.8,2.5475807E-5,2.4840738E-5,2.4840738E-5,1.0,0.0,1.0917746E-4,1.0645604E-4,1.0645604E-4,1.0,0.0,0.001328425,0.0012953464,0.0012953464,1.0,0.0,0.0132051185,0.013199127,0.013199127,1.0,0.0
6.9,2.1162023E-5,1.9798375E-5,1.9798375E-5,1.0,0.0,9.069123E-5,8.4847445E-5,8.4847445E-5,1.0,0.0,0.0011036064,0.0010325328,0.0010325328,1.0,0.0,0.010981417,0.010571153,0.010571153,1.0,0.0
7.0,1.8754288E-5,1.8129858E-5,1.8129858E-5,1.0,0.0,8.037304E-5,7.769709E-5,7.769709E-5,1.0,0.0,9.781026E-4,9.455546E-4,9.455546E-4,1.0,0.0,0.009738087,0.009690906,0.009690906,1.0,0.0
7.1,1.8678527E-5,1.8048686E-5,1.8048686E-5,1.0,0.0,8.0048376E-5,7.734923E-5,7.734923E-5,1.0,0.0,9.7415317E-4,9.41323E-4,9.41323E-4,1.0,0.0,0.009698939,0.009648685,0.009648685,1.0,0.0
7.2,1.7804578E-5,1.7283759E-5,1.7283759E-5,1.0,0.0,7.6303106E-5,7.407116E-5,7.407116E-5,1.0,0.0,9.285943E-4,9.0144604E-4,9.0144604E-4,1.0,0.0,0.009247236,0.009249902,0.009249902,1.0,0.0
7.3,1.6583685E-5,1.6353799E-5,1.6353799E-5,1.0,0.0,7.1070994E-5,7.008584E-5,7.008584E-5,1.0,0.0,8.649459E-4,8.529635E-4,8.529635E-4,1.0,0.0,0.00861587,0.008765268,0.008765268,1.0,0.0
7.4,1.6387552E-5,1.6206594E-5,1.6206594E-5,1.0,0.0,7.023047E-5,6.9454996E-5,6.9454996E-5,1.0,0.0,8.5472054E-4,8.452889E-4,8.452889E-4,1.0,0.0,0.008514405,0.008688498,0.008688498,1.0,0.0
7.5,1.5790754E-5,1.5809896E-5,1.5809896E-5,1.0,0.0,6.767291E-5,6.7754954E-5,6.7754954E-5,1.0,0.0,8.236062E-4,8.246067E-4,8.246067E-4,1.0,0.0,0.008205604,0.008479888,0.008479888,1.0,0.0
7.6,1.4248672E-5,1.47409655E-5,1.47409655E-5,1.0,0.0,6.106431E-5,6.317405E-5,6.317405E-5,1.0,0.0,7.432043E-4,7.688747E-4,7.688747E-4,1.0,0.0,0.007407237,0.007917439,0.007917439,1.0,0.0
7.7,1.15449975E-5,1.24458475E-5,1.24458475E-5,1.0,0.0,4.947762E-5,5.3338263E-5,5.3338263E-5,1.0,0.0,6.022235E-4,6.4920087E-4,6.4920087E-4,1.0,0.0,0.006005941,0.00671427,0.00671427,1.0,0.0
7.8,9.1391985E-6,1.0937948E-5,1.0937948E-5,1.0,0.0,3.9167408E-5,4.687608E-5,4.687608E-5,1.0,0.0,4.767588E-4,5.705676E-4,5.705676E-4,1.0,0.0,0.0047573727,0.005919773,0.005919773,1.0,0.0
7.9,6.973017E-6,8.568603E-6,8.568603E-6,1.0,0.0,2.9884017E-5,3.672207E-5,3.672207E-5,1.0,0.0,3.6377716E-4,4.4700023E-4,4.4700023E-4,1.0,0.0,0.0036318225,0.0046726577,0.0046726577,1.0,0.0
8.0,5.7638235E-6,7.3041124E-6,7.3041124E-6,1.0,0.0,2.4701867E-5,3.1302967E-5,3.1302967E-5,1.0,0.0,3.0070372E-4,3.8104766E-4,3.8104766E-4,1.0,0.0,0.0030029714,0.0040004873,0.0040004873,1.0,0.0
8.1,5.1124434E-6,6.4276755E-6,6.4276755E-6,1.0,0.0,2.1910288E-5,2.7546894E-5,2.7546894E-5,1.0,0.0,2.6672508E-4,3.3533247E-4,3.3533247E-4,1.0,0.0,0.0026640517,0.003529423,0.003529423,1.0,0.0
8.2,1.1075938E-6,6.718009E-7,6.718009E-7,1.0,0.0,4.7468216E-6,2.8791437E-6,2.8791437E-6,1.0,0.0,5.779102E-5,3.5053046E-5,3.5053046E-5,1.0,0.0,5.777599E-4,3.8987593E-4,3.8987593E-4,1.0,0.0
8.3,1.3584393E-8,5.7739014E-9,5.7739014E-9,1.0,0.0,5.8218827E-8,2.4745292E-8,2.4745292E-8,1.0,0.0,7.0881396E-7,3.0127393E-7,3.0127393E-7,1.0,0.0,7.0881174E-6,3.3399433E-6,3.3399433E-6,1.0,0.0
